Year,WBIC,level_obs,level_precip,level_process
1915,8900,NA,13.328558898764605,NA
1915,41900,NA,14.027518021383731,NA
1915,42800,NA,13.12898292870777,NA
1915,43900,NA,13.522633028689395,NA
1915,45100,NA,27.3246886786608,NA
1915,45200,NA,1.0239364334186711,NA
1915,63700,NA,25.37412951953769,NA
1915,64000,NA,15.141510481667076,NA
1915,82900,NA,12.858276069313883,NA
1915,93100,NA,-1.1061668133704108,NA
1915,94300,NA,15.77287188317692,NA
1915,101300,NA,33.39932424593763,NA
1915,102100,NA,20.112413048899185,NA
1915,102600,NA,12.93251999263329,NA
1915,102900,NA,31.786442295805838,NA
1915,103400,NA,21.447411655489248,NA
1915,103600,NA,12.850792886387167,NA
1915,103900,NA,19.085399218679335,NA
1915,104200,NA,5.192897694731159,NA
1915,104600,NA,24.654460861568253,NA
1915,105200,NA,26.127128849063975,NA
1915,106500,NA,27.019944122322542,NA
1915,106600,NA,23.71936814465022,NA
1915,107600,NA,10.017771191595005,NA
1915,107900,NA,22.595558742456696,NA
1915,108200,NA,8.427016124860193,NA
1915,117400,NA,19.640505623412174,NA
1915,117500,NA,12.30341904402441,NA
1915,117600,NA,30.229300431761864,NA
1915,181400,NA,4.963667095217921,NA
1915,181700,NA,12.415227073556053,NA
1915,181800,NA,5.861006615497002,NA
1915,181900,NA,31.93399404362825,NA
1915,182100,NA,22.292782193528662,NA
1915,182200,NA,6.549924611383796,NA
1915,182300,NA,25.199826355535663,NA
1915,184200,NA,7.726143786731488,NA
1915,184300,NA,-3.9898915640335644,NA
1915,184500,NA,5.9261525508667665,NA
1915,185300,NA,4.521731448224144,NA
1915,186400,NA,28.17511212386508,NA
1915,189100,NA,21.49897134128151,NA
1915,189600,NA,23.273813242549302,NA
1915,189800,NA,20.574868186819995,NA
1915,190100,NA,23.330284206349283,NA
1915,190200,NA,25.16785978463536,NA
1915,190500,NA,4.628923726953444,NA
1915,191100,NA,28.903716340654576,NA
1915,191400,NA,12.14434855461274,NA
1915,192500,NA,4.531110728888273,NA
1915,193800,NA,10.462096579989733,NA
1915,195000,NA,18.52672390835949,NA
1915,195900,NA,35.757662887100686,NA
1915,196100,NA,22.663541492911286,NA
1915,197300,NA,23.680252355487674,NA
1915,197600,NA,4.595300211700164,NA
1915,197900,NA,5.0002757371831255,NA
1915,198100,NA,-1.7011303024021016,NA
1915,198800,NA,14.880349533331152,NA
1915,199300,NA,15.884386675563642,NA
1915,199700,NA,22.509357249312306,NA
1915,200300,NA,32.65430665502913,NA
1915,240800,NA,1.2479160091137715,NA
1915,240900,NA,10.187048544653269,NA
1915,310500,NA,7.923208885426361,NA
1915,388700,NA,6.512813005627812,NA
1915,417400,NA,-12.467770274507103,NA
1915,417900,NA,-13.245966991179115,NA
1915,418000,NA,0.47758229917815115,NA
1915,418300,NA,5.877606922528095,NA
1915,418700,NA,-11.347802273859125,NA
1915,421600,NA,-1.9487895932928894,NA
1915,421800,NA,3.7851554379867167,NA
1915,425600,NA,-7.085146280531202,NA
1915,427300,NA,-11.313717059900247,NA
1915,427900,NA,-3.8566073376192054,NA
1915,439500,NA,-9.38806535831745,NA
1915,439800,NA,-7.672391165483386,NA
1915,498800,NA,-4.196957198911857,NA
1915,501200,NA,-2.463149679279322,NA
1915,501700,NA,-6.498212723347272,NA
1915,502000,NA,-3.141428625400041,NA
1915,502300,NA,-3.707321365101999,NA
1915,503300,NA,-2.734167911189979,NA
1915,504300,NA,19.77802422821744,NA
1915,519700,NA,8.828902891903024,NA
1915,585100,NA,-6.403543310420347,NA
1915,585400,NA,-20.463429172361693,NA
1915,589400,NA,-0.5501565750519463,NA
1915,589800,NA,-2.5843966027781162,NA
1915,692600,NA,-14.905763433134815,NA
1915,717400,NA,-25.288402007568486,NA
1915,740400,NA,1.6571164627272992,NA
1915,740700,NA,-0.8151657893718667,NA
1915,741200,NA,0.7100468530415118,NA
1915,741500,NA,2.561439293905352,NA
1915,741600,NA,-2.886932657248134,NA
1915,741700,NA,-3.201903456058247,NA
1915,741800,NA,5.370914281110562,NA
1915,774200,NA,5.536593617487855,NA
1915,774400,NA,20.16714908042359,NA
1915,778300,NA,7.3834346342727954,NA
1915,779200,NA,16.4037486146123,NA
1915,779300,NA,4.0288108431447665,NA
1915,779800,NA,7.910427316211177,NA
1915,783750,NA,-1.0292138166561904,NA
1915,813100,NA,7.124642425234796,NA
1915,872600,NA,-3.266858148438368,NA
1915,967900,NA,-8.252972004122988,NA
1915,968800,NA,-18.044707197300625,NA
1915,969600,NA,7.906157513164227,NA
1915,971600,NA,-0.34041692616418207,NA
1915,972000,NA,-1.0396614052065807,NA
1915,972500,NA,-2.2555355537666686,NA
1915,976800,NA,-8.525680543243462,NA
1915,977500,NA,-2.2256477021188172,NA
1915,979000,NA,8.657695207051626,NA
1915,979100,NA,-1.0265558141545448,NA
1915,981500,NA,10.914289864031508,NA
1915,982500,NA,-6.6684724413092695,NA
1915,983300,NA,-1.1124459373380593,NA
1915,984400,NA,-1.1058391967240757,NA
1915,984800,NA,-8.657517118367144,NA
1915,985000,NA,48.602365869158774,NA
1915,989200,NA,-2.6669436774189395,NA
1915,990700,NA,0.1713393333533604,NA
1915,991000,NA,-6.3057163428700385,NA
1915,991700,NA,-7.9257151737648455,NA
1915,991900,NA,13.76858826518825,NA
1915,993800,NA,11.842135654908658,NA
1915,994400,NA,4.498241488577442,NA
1915,994700,NA,1.3391454716946694,NA
1915,994900,NA,29.73909238491796,NA
1915,995200,NA,-14.578923708365396,NA
1915,998100,NA,20.942898621144817,NA
1915,999200,NA,11.799031728376987,NA
1915,1000900,NA,10.508631823429724,NA
1915,1001000,NA,8.018230435727599,NA
1915,1002600,NA,-2.534502210098855,NA
1915,1003700,NA,-7.899193470327042,NA
1915,1004600,NA,-0.7223114914824582,NA
1915,1005400,NA,11.826486545812466,NA
1915,1005600,NA,10.102172945138165,NA
1915,1005800,NA,-7.730111444490524,NA
1915,1007200,NA,7.8557588186760805,NA
1915,1007500,NA,-0.3921515287106467,NA
1915,1009400,NA,-3.185896362410713,NA
1915,1009800,NA,-1.766092861095663,NA
1915,1010100,NA,9.612137921424399,NA
1915,1012000,NA,55.195909896800025,NA
1915,1012100,NA,2.342753566279429,NA
1915,1012500,NA,35.681003469165915,NA
