WBIC,dnr_field,dnr_lab,edi,usgs_lab,final_value,datasource,unit
190100,NA,340.3333333,262,NA,340.3333333,dnr_lab,us/cm
190200,213.5686667,226,219,NA,226,dnr_lab,us/cm
190500,NA,NA,20,NA,20,edi,us/cm
191100,204.704612,238.6444444,222,NA,238.6444444,dnr_lab,us/cm
191400,NA,27,31,NA,27,dnr_lab,us/cm
192500,NA,NA,44,NA,44,edi,us/cm
193800,21.53084112,16.08,30,NA,16.08,dnr_lab,us/cm
194000,NA,291,250,NA,291,dnr_lab,us/cm
194800,NA,NA,24,NA,24,edi,us/cm
195000,NA,NA,79,NA,79,edi,us/cm
195400,263.4652778,232.4666667,208,NA,232.4666667,dnr_lab,us/cm
195900,NA,NA,213,NA,213,edi,us/cm
196100,235.2514286,217,185,NA,217,dnr_lab,us/cm
197300,133.5574074,112.9285714,151,NA,112.9285714,dnr_lab,us/cm
197600,NA,171.5,57,150.33,171.5,dnr_lab,us/cm
197900,NA,NA,79,126,79,edi,us/cm
198100,NA,182,198,NA,182,dnr_lab,us/cm
198800,163.3171545,185.4863636,139,NA,185.4863636,dnr_lab,us/cm
199300,NA,NA,168,NA,168,edi,us/cm
199700,NA,908,273,NA,908,dnr_lab,us/cm
200300,149,NA,170,NA,149,dnr_field,us/cm
200900,NA,NA,NA,NA,NA,NA,us/cm
240800,310,338,559,NA,338,dnr_lab,us/cm
240900,247,NA,37,NA,247,dnr_field,us/cm
241100,263.975,177,294,NA,177,dnr_lab,us/cm
245800,377.5992,330.25,360,NA,330.25,dnr_lab,us/cm
246500,371.2662857,357.7857143,NA,346.3,357.7857143,dnr_lab,us/cm
246900,285.9764286,260.9166667,692,NA,260.9166667,dnr_lab,us/cm
247200,NA,337.5,204,NA,337.5,dnr_lab,us/cm
247700,293.9247794,279.3333333,244,NA,279.3333333,dnr_lab,us/cm
250000,252.9550562,252.6666667,237,NA,252.6666667,dnr_lab,us/cm
253800,NA,338.4,290,NA,338.4,dnr_lab,us/cm
254900,NA,NA,229,NA,229,edi,us/cm
255300,NA,NA,349,NA,349,edi,us/cm
258600,407,441.3514563,306,NA,441.3514563,dnr_lab,us/cm
258700,455,599.6535088,298,NA,599.6535088,dnr_lab,us/cm
259600,293.2727273,315.6315789,193,NA,315.6315789,dnr_lab,us/cm
265100,361.4,415.8,270,NA,415.8,dnr_lab,us/cm
265300,367.7868852,366.75,293,362,366.75,dnr_lab,us/cm
265600,351.7222222,394.8333333,273,NA,394.8333333,dnr_lab,us/cm
267800,NA,376.5,381,NA,376.5,dnr_lab,us/cm
270200,174.0256743,175.5555556,131,NA,175.5555556,dnr_lab,us/cm
278600,NA,381,237,NA,381,dnr_lab,us/cm
279300,NA,NA,212,NA,212,edi,us/cm
279700,377.8333333,414.25,400,NA,414.25,dnr_lab,us/cm
284300,250,NA,179,NA,250,dnr_field,us/cm
286400,475.3254237,416.2,255,NA,416.2,dnr_lab,us/cm
289400,NA,349.5,342,NA,349.5,dnr_lab,us/cm
310500,217.7198198,209.462963,182,NA,209.462963,dnr_lab,us/cm
321300,330,268,295,NA,268,dnr_lab,us/cm
323800,NA,121.5,124,95.25,121.5,dnr_lab,us/cm
