FID,TNMID,GNIS_ID,AreaAcres,AreaSqKm,States,HUC8,Name,Ha,Pct_In_NWI,Ha_In_NWI,LAT,Lon,ZoneID
166,{AA27FA83-621C-4336-9E55-421C9FFC2788},0.000000000000000,1364199.000000000000000,5520.838164240000000,"ME,CN",01020001,West Branch Penobscot,552003.604783999970000,99.982798870400003,551908.653816999980000,45.911764143200003,-69.446547032500007,HU8_6
167,{F712E8BC-A89A-4DC8-9D27-EEF93B9652C3},0.000000000000000,716495.000000000000000,2899.615880020000100,ME,01020002,East Branch Penobscot,289961.588081999970000,100.000000000000000,289961.587988000010000,46.112043631799999,-68.899965226500001,HU8_7
168,{3A7B0442-D780-454F-85F0-994D8880374E},0.000000000000000,965622.000000000000000,3907.818176240000000,ME,01020003,Mattawamkeag,390781.817652000000000,100.000000000000000,390781.817607000000000,45.783401610200002,-68.156418292900000,HU8_8
169,{B91306E0-FEB3-469B-9145-6184D24C0AC8},0.000000000000000,935242.000000000000000,3784.873612259999800,ME,01020004,Piscataquis,378487.361263000000000,100.000000000000000,378487.361238999990000,45.347093410100001,-69.219396307300002,HU8_11
170,{40D78F77-2D4B-472B-92C3-5265236357C9},0.000000000000000,1532219.000000000000000,6200.807365370000300,ME,01020005,Lower Penobscot,620080.736527999980000,100.000000000000000,620080.736477999950000,45.043653181000003,-68.671861767400003,HU8_12
171,{67816CA7-4C7C-4809-9FBC-20DFC1AB3460},0.000000000000000,561243.000000000000000,2271.320389210000000,"ME,CN",01030002,Dead,227042.653727000000000,99.973061487199999,226981.491805000000000,45.259381381399997,-70.414401696400006,HU8_18
172,{616924A5-6687-405E-82D9-C4F3D22AF147},0.000000000000000,2195598.000000000000000,8885.465253809999900,ME,01030003,Lower Kennebec,888546.525383000030000,100.000000000000000,888546.525384000040000,44.744635270400003,-69.797906768999994,HU8_13
173,{B69624FA-554A-4249-8620-805A087E1AB5},0.000000000000000,3078154.000000000000000,12457.117004700000000,ME,01050002,Maine Coastal,1245706.748140000000000,99.999998392899997,1245706.747040000000000,44.504381544499999,-68.250880452800004,HU8_14
174,{E0CA2D97-DD46-4D09-BD0E-64AD675A1683},0.000000000000000,875077.000000000000000,3541.389676180000200,ME,01050003,St. George-Sheepscot,354129.357803000020000,99.999995830600000,354129.363539999990000,44.058009527199999,-69.471550345500006,HU8_15
175,{CDF3BA10-0DC4-4236-829D-95F9E8960B59},0.000000000000000,911173.000000000000000,3687.465961100000200,ME,01060001,Presumpscot,368714.009836999990000,99.999998972399993,368714.052483999990000,43.832706093699997,-70.340383625499996,HU8_20
176,{23F97AA3-4C4C-438B-8095-AAECBD7B85C9},0.000000000000000,774428.000000000000000,3134.067523079999800,"CN,ME",01010006,Headwaters Saint John River,172523.739605999990000,99.941210552800001,172422.312803000010000,46.335212760399997,-69.951898947299995,HU8_16
177,{0831C9CC-36F8-4251-9A19-414313C5078C},0.000000000000000,950314.000000000000000,3845.866631309999800,"CN,ME",01010007,Big Black River-Saint John River,239521.140251000000000,99.991117037400002,239499.860209000010000,46.960227276900000,-69.518831008399999,HU8_600
178,{3DAA3FB3-E53A-43B9-A16D-D3B3619D3B02},0.000000000000000,1490838.000000000000000,6033.339982360000200,"CN,ME",01010008,St. Francis River-Saint John River,95285.864747000000000,99.910657005499999,95200.731863599998000,47.224732322199998,-68.941244690900007,HU8_601
