wiscwaterl,clusterid,SiteID,SiteType,Latitude,Longitude,US_L3NAME,HUC4,HUC4_Name,HUC4_hectares,HUC8,HUC8_Name,HUC8_hectares,HUC12,HUC12_Name,HUC12_hectares
136,4,0.000000,Well,44.701170,-88.362890,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030103,Duck-Pensaukee,86190.78547820000,040301030101,Headwaters Pensaukee River,12628.41774510000
137,4,0.000000,Well,44.845080,-88.924640,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030202,Wolf,965007.51462200000,040302021202,Pony Creek-North Branch Embarrass River,9222.14956338000
138,3,0.000000,Well,44.774150,-88.537320,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030202,Wolf,965007.51462200000,040302020603,Shawano Lake,11771.06760300000
139,1,0.000000,Well,43.379540,-89.755270,Driftless Area,0707,Wisconsin,3090691.10055000000,07070005,Lower Wisconsin,611638.46347800000,070700050302,Otter Creek,10303.71864680000
140,4,0.000000,Well,43.601280,-90.225210,Driftless Area,0707,Wisconsin,3090691.10055000000,07070004,Baraboo,169737.19673600000,070700040206,Dutch Hollow Lake-Baraboo River,9858.10876274000
141,2,0.000000,Well,46.001430,-91.488770,Northern Lakes and Forests,0703,St. Croix,1999384.11855000000,07030002,Namekagon,263799.51614700000,070300020202,Spring Lake Creek-Namekagon River,9724.70700460000
142,4,0.000000,Well,45.163030,-90.810970,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050005,Lower Chippewa,533484.59657200000,070500050207,Yellow River,11642.85999670000
143,2,0.000000,Well,44.072740,-91.308200,Driftless Area,0704,Upper Mississippi-Black-Root,2787250.83836000000,07040007,Black,589447.68430400000,070400071209,Van Loon Lake-Black River,7867.56335812000
144,4,0.000000,Well,44.295460,-91.258660,Driftless Area,0704,Upper Mississippi-Black-Root,2787250.83836000000,07040005,Trempealeau,188890.19598600000,070400050207,Lakes Coulee Creek-Trempealeau River,12504.90508300000
145,4,0.000000,Well,43.478310,-90.829020,Driftless Area,0707,Wisconsin,3090691.10055000000,07070006,Kickapoo,198835.48151500000,070700060401,Reads Creek,4962.70704905000
146,1,0.000000,Well,43.657750,-91.173740,Driftless Area,0706,Upper Mississippi-Maquoketa-Plum,2225654.25825000000,07060001,Coon-Yellow,368849.49662800000,070600010104,Lower Coon Creek,11601.05043260000
147,1,0.000000,Well,43.655800,-91.222630,Driftless Area,0706,Upper Mississippi-Maquoketa-Plum,2225654.25825000000,07060001,Coon-Yellow,368849.49662800000,070600010104,Lower Coon Creek,11601.05043260000
148,1,0.000000,Well,43.655800,-91.222630,Driftless Area,0706,Upper Mississippi-Maquoketa-Plum,2225654.25825000000,07060001,Coon-Yellow,368849.49662800000,070600010104,Lower Coon Creek,11601.05043260000
149,3,0.000000,Well,45.921040,-89.245240,Northern Lakes and Forests,0707,Wisconsin,3090691.10055000000,07070001,Upper Wisconsin,564561.55749500000,070700010206,Eagle River Chain of Lakes-Eagle River,8461.48685512000
150,1,0.000000,Well,46.054500,-89.257020,Northern Lakes and Forests,0707,Wisconsin,3090691.10055000000,07070001,Upper Wisconsin,564561.55749500000,070700010305,Pioneer Creek,9632.58170388000
151,3,0.000000,Well,46.010470,-91.834200,Northern Lakes and Forests,0703,St. Croix,1999384.11855000000,07030002,Namekagon,263799.51614700000,070300020401,Stuntz Brook,5432.73031978000
152,4,0.000000,Well,44.248090,-89.725160,North Central Hardwood Forests,0707,Wisconsin,3090691.10055000000,07070003,Castle Rock,841594.77895900000,070700030603,Fourteenmile Creek,6451.08001528000
153,3,0.000000,Well,46.070383,-89.683450,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
154,3,0.000000,Well,46.098617,-89.669133,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
155,3,0.000000,Well,46.096317,-89.645750,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
156,3,0.000000,Well,46.070383,-89.632267,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
157,3,0.000000,Well,46.055900,-89.616583,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
158,1,0.000000,Well,42.926600,-88.221758,Southeastern Wisconsin Till Plains,0712,Upper Illinois,2830975.33222000000,07120006,Upper Fox,399928.83086500000,071200060703,Mill Brook-Fox River,7831.93888304000
159,4,0.000000,Well,44.262480,-88.874830,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030202,Wolf,965007.51462200000,040302021906,Partridge Lake-Wolf River,8382.67238769000
160,4,0.000000,Well,44.392170,-89.097860,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030202,Wolf,965007.51462200000,040302021604,Nichol Creek-South Branch Little Wolf River,8012.27895223000
161,4,0.000000,Well,44.398590,-88.743990,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030202,Wolf,965007.51462200000,040302021304,Turney Hill-Bear Creek,8857.85125123000
162,4,0.000000,Well,44.639150,-88.818990,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030202,Wolf,965007.51462200000,040302021103,Pigeon Lake-Pigeon River,6633.64165778000
163,4,0.000000,Well,44.062710,-89.254640,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030201,Upper Fox,419627.72232700000,040302010804,Little Lunch Creek-White River,6921.41385840000
164,4,0.000000,Well,44.120500,-89.535710,North Central Hardwood Forests,0707,Wisconsin,3090691.10055000000,07070003,Castle Rock,841594.77895900000,070700030803,Middle Big Roche a Cri Creek,8140.93553159000
165,1,0.000000,Well,42.553353,-88.584664,Southeastern Wisconsin Till Plains,0712,Upper Illinois,2830975.33222000000,07120006,Upper Fox,399928.83086500000,071200060602,Lake Geneva-White River,10216.44312180000
166,1,0.000000,Well,42.667806,-88.734600,Southeastern Wisconsin Till Plains,0709,Rock,2827592.80343000000,07090002,Middle Rock,474326.13274000000,070900021406,Trout Lake-Turtle Creek,7868.91474765000
167,1,0.000000,Well,42.835013,-88.454264,Southeastern Wisconsin Till Plains,0712,Upper Illinois,2830975.33222000000,07120006,Upper Fox,399928.83086500000,071200060202,Eagle Spring Lake,7862.90060450000
