"wiscwaterlevelid","SiteID","clusterid_dtw1_3","clusterid_dtw1_4","clusterid_dtw2_4","SiteType","Latitude","Longitude"
86,"K110","3","2","4","Well",46.0007,-89.609
87,"K111","3","2","4","Well",46.000717,-89.609267
88,"K13","3","2","4","Well",46.000583,-89.619283
89,"K14","3","2","4","Well",46.000633,-89.619467
90,"K17","1","3","2","Well",46.007617,-89.659583
91,"K18","1","3","2","Well",46.007917,-89.659783
92,"K2","3","2","4","Well",46.004,-89.614367
93,"K25","1","3","2","Well",46.002817,-89.597367
94,"K30","3","2","4","Well",46.001333,-89.623433
95,"K31","3","2","4","Well",45.999267,-89.61175
96,"K32","3","2","4","Well",45.999383,-89.61155
97,"K33","3","2","4","Well",46.00145,-89.60885
98,"K34","3","2","4","Well",46.0012,-89.6088
99,"K49","1","3","2","Well",46.006517,-89.667683
100,"K5","3","2","4","Well",46.005033,-89.614833
101,"K56","1","3","2","Well",46.012083,-89.65915
102,"K6","3","2","4","Well",46.004967,-89.615033
103,"K61","1","3","2","Well",46.02575,-89.587383
104,"K7","3","2","4","Well",45.997517,-89.6111
105,"K75","3","2","4","Well",46.004717,-89.6145
106,"K9","3","2","4","Well",46.00345,-89.626567
107,"KE-01/22E/13-0046","2","1","1","Well",42.53715556,-87.8432167
108,"LA-30/11E/25-1310","1","3","2","Well",45.0465,-89.11236
109,"LA-34/10E/13-0537","1","3","2","Well",45.43427,-89.18789
110,"LF-01/03E/01-0294","2","1","1","Well",42.5819483,-90.0759583
111,"LR21","1","3","2","Well",46.011,-89.685183
112,"ML-06/21E/32-0148","2","1","1","Well",42.93681944,-88.0289667
113,"ML-08/21E/35-0118","2","1","1","Well",43.11682,-87.97673
114,"MN-19/23E/35-0028","1","4","2","Well",44.07372,-87.70171
115,"MO-15/03W/05-0010","3","2","4","Well",43.81108,-90.77041
116,"MO-15/04W/34-0002","2","1","1","Well",43.72833,-90.83222
117,"MO-18/02W/29-0017","2","1","3","Well",44.00722,-90.65028
118,"MQ-14/09E/30-0026","2","1","3","Well",43.66575,-89.46558
119,"MQ-16/08E/12-0009","2","1","3","Well",43.87927,-89.49315
120,"MQ-17/08E/35-0104","2","4","3","Well",43.89419,-89.51486
121,"MR-29/03E/24-0027","1","4","3","Well",44.97913,-90.09569
122,"MR-29/07E/24-0100","1","3","2","Well",44.98669,-89.62886
123,"MT-37/20E/34-0007","1","3","2","Well",45.63739,-87.98367
124,"ON-36/09E/09-0024","1","3","2","Well",45.62746,-89.3668
125,"PK-34/18W/26-0093","3","3","4","Well",45.39774,-92.55576
126,"PK-35/17W/08-0040","1","3","2","Well",45.52877,-92.50456
127,"PP-24/16W/26-0039","1","4","3","Well",44.51306,-92.29056
128,"PP-25/12W/32-0040","3","4","3","Well",44.60663,-91.85683
129,"PR-35/03E/04-0065","1","3","2","Well",45.55302,-90.11487
130,"PT-21/08E/10-0036","2","4","3","Well",44.3095,-89.52915
131,"PT-22/10E/32-1320","1","4","2","Well",44.33292,-89.30992
132,"PT-23/10E/18-0276","1","4","2","Well",44.47085,-89.33302
133,"PT-24/10E/16-1324","1","4","2","Well",44.56192,-89.2875
134,"RI-10/01E/26-0023","2","1","1","Well",43.3111,-90.34235
135,"RO-01/12E/35-0040","2","1","1","Well",42.50529277,-89.0345543
136,"SH-26/18E/30-0225","1","4","2","Well",44.70117,-88.36289
137,"SH-27/13E/04-0221","1","4","3","Well",44.84508,-88.92464
138,"SH-27/16E/34-0027","1","3","2","Well",44.77415,-88.53732
139,"SK-10/06E/02-0003","2","1","1","Well",43.37954,-89.75527
140,"SK-13/02E/14-0230","2","4","3","Well",43.60128,-90.22521
141,"SW-41/09W/28-0007","2","2","3","Well",46.00143,-91.48877
142,"TA-31/04W/13-0001","2","4","3","Well",45.16303,-90.81097
143,"TR-19/08W/35-0001","3","2","4","Well",44.07274,-91.3082
144,"TR-21/07W/17-0071","1","4","2","Well",44.29546,-91.25866
145,"VE-12/04W/34-0052","2","4","3","Well",43.47831,-90.82902
146,"VE-14/07W/26-0008","2","1","1","Well",43.65775,-91.17374
147,"VE-14/07W/28-0271","2","1","1","Well",43.6558,-91.22263
148,"VE-14/07W/28-0272","2","1","1","Well",43.6558,-91.22263
149,"VI-40/10E/28-0033","3","3","4","Well",45.92104,-89.24524
150,"VI-41/10E/09-0003","2","1","3","Well",46.0545,-89.25702
151,"WB-41/12W/26-0048","1","3","2","Well",46.01047,-91.8342
152,"WD-21/06E/36-1298","2","4","3","Well",44.24809,-89.72516
153,"WD1","1","3","2","Well",46.070383,-89.68345
154,"WD2","1","3","2","Well",46.098617,-89.669133
155,"WD3","1","3","2","Well",46.096317,-89.64575
156,"WD4","1","3","2","Well",46.070383,-89.632267
157,"WD5","1","3","2","Well",46.0559,-89.616583
158,"WK-05/19E/02-0031","2","1","1","Well",42.9266,-88.2217583
159,"WP-21/13E/25-0002","2","4","3","Well",44.26248,-88.87483
160,"WP-22/12E/07-0792","1","4","2","Well",44.39217,-89.09786
161,"WP-22/14E/12-0013","1","4","2","Well",44.39859,-88.74399
162,"WP-25/14E/17-0771","1","4","2","Well",44.63915,-88.81899
163,"WS-18/10E/01-0105","2","4","3","Well",44.06271,-89.25464
164,"WS-19/08E/15-0008","2","4","3","Well",44.1205,-89.53571
165,"WW-01/16E/10-0083","2","1","1","Well",42.55335278,-88.58466389
166,"WW-03/15E/33-0009","2","1","1","Well",42.66780556,-88.7346
167,"WW-04/17E/02-0908","2","1","3","Well",42.83501297,-88.4542644
