WBIC,LakeName,US_L3NAME,ECO_LANDSC,HUC12_CODE,lat,long,SHAPE_AREA,SHAPE_LEN,Area,MaxDepth,MeanDepth,R_AREA,R_PERM,R_SLOPE,R_DARCY,R_LU06_11,R_LU06_21,R_LU06_22,R_LU06_41,R_LU06_42,R_LU06_43,R_LU06_82,R_LU06_90,R_LU06_95,cond,mg_average,ca_average,lake_MEAN,watershed_MIN,elevation_difference,mean_ann_wdrl_gals,slope2,slope3,slope4,slope5,slopenearest
77600,Boot Lake,Southeastern Wisconsin Till Plains,Central Lake Michigan Coastal,040301010302,44.14647208,-88.04505537,9.387197559739858,7.6186328479752685,3.093102195050827,5.7343391788738085,2.5181050771984324,0.05633188087953503,82,0.8408329203831163,143.16241561430732,3.0898685223205264,0.03162277660168379,2.0954712835064098,0,0.03162277660168379,0.03162277660168379,6021722061542017e10,3.9001282030210236,0.03162277660168379,2.4759018776733672,NA,NA,3.858405266074995,2.1607103205044984,2.8032441672610586,19490.58290348616,-1.6010609206238047,-1.8866182041162083,-2.1053807347179885,-1.8866182041162083,-1.6010609206238047
779300,Pretty Lake,Southeastern Wisconsin Till Plains,Southeast Glacial Plains,070900020305,42.95497772,-88.49890784,10.760418964441344,8.357369681669965,4.867593616801989,8.93276650767049,NA,0.09273581602744116,909,1.5162453627299244,-18.168563403730076,3.811559696648758,2.247443035985562,4.426172183727154,4.426398265017286,0.03162277660168379,0.03162277660168379,1,6.830153841605619,3.351268341986359,2.4683715055203828,NA,NA,3.8708225941546384,2.16318968308839,2.55041014128972,13557.85096754434,-1.7463430753441562,-2.0749611230524807,-2.1949530011187695,-2.0749611230524807,-1.7463430753441562
1859400,Ten Lake,Northern Lakes and Forests,North Central Forest,070500030108,45.6221921499999,-90.4867348399999,10.438414521685079,8.426834907753056,4.430958492080543,9.207717586191807,3.6877831622597896,0.09125586228341606,431,2.3158151696540896,7.194927859677603,5.1276352061596775,1.8441800617076414,1.144989039248848,4.014529865159899,2.5905597850657682,3.436713604593784,2.159766253784915,7.302122958427912,0.03162277660168379,1.8217049224508197,NA,NA,4.113419045577668,2.2111495254830698,3.9810162728694958,0.03162277660168379,-1.699200188201432,-2.007594037402631,-2.1293360810244195,-2.007594037402631,-1.699200188201432
2493900,Round Lake,Northern Lakes and Forests,Northwest Sands,070300010204,46.2282750899999,-91.936299,10.263694562743568,7.88188847268363,4.1898842314256335,13.487729324992129,4.553376151578575,0.06821015137570345,1032,3.210607356871905,-1174.0937696627084,5.913680865151568,0.03162277660168379,1.729450779872038,12.538340579727095,4.355571064739961,5.039940436155967,1,0.03162277660168379,0.03162277660168379,1.9253734906384283,-0.6748993995488319,0.5956349149062921,3.9523782524725797,2.180248875786025,3.6388384976406583,0.03162277660168379,-1.7375531821237216,-1.9376830973521117,-2.120534948260049,-1.9376830973521117,-1.7375531821237216
1002600,Lucy Lake,Northern Lakes and Forests,Northern Highland,070700010806,45.9026243699999,-89.8398036199999,10.326345453092449,8.348565032136252,4.276858964458208,7.07102319487123,NA,0.0925936555217132,1032,2.128614596398324,-167.34796934761786,4.383436530930822,0.6172519744804386,0.03162277660168379,15.39472786606844,2.1819716313462925,4.177439502853393,1,4.647687640106637,0.03162277660168379,1.8862281171975515,NA,NA,4.1388454401293044,2.2158308083756006,3.6466636560168033,0.03162277660168379,-1.7327264614547837,-1.9895830633862572,-2.1843926882900297,-1.9895830633862572,-1.7327264614547837
8900,Forest Lake,Southeastern Wisconsin Till Plains,Southeast Glacial Plains,040400030206,43.6088845,-88.1673186,10.576792450820001,8.375502540577829,4.625068916307673,8.504104192736463,2.9931373611506245,0.09353714070079472,856.9000244,2.4885738486128957,2108.8857806138676,6.091834409471741,3.848506255678948,0.03162277660168379,14.257921324810964,0.03162277660168379,0.03162277660168379,1,4.87144737218827,1.0202940752547767,2.4009899534082835,1.3275592814159738,1.3476095164387871,3.9387243501799567,2.177431888060293,3.79287824050419,1412.6304899017293,-1.6496883565966762,-2.049232333231656,-1.9509576209537092,-2.049232333231656,-1.6496883565966762
63700,Spring Lake,Southeastern Wisconsin Till Plains,Southeast Glacial Plains,040301010801,43.9689707499999,-87.89580737,9.276553712354005,7.576927638926038,2.8934439858858716,7.07102319487123,2.9931373611506245,0.05040734394034134,186,1.5504837954651445,86.35401602749387,3.3029669734817086,3.0333149852924937,0.03162277660168379,11.15273956861841,0.03162277660168379,2.6816040162559425,46.99305853227318,6.543011646023564,0.03162277660168379,2.494599894384709,NA,NA,3.889045589769512,2.1671999003443316,4.236298186684716,0.03162277660168379,-1.7098856689339326,-1.8009498092340999,-2.0449847706511877,-1.8009498092340999,-1.7098856689339326
421600,Grindle Lake - Staff Gage,Northern Lakes and Forests,Northeast Sands,040301040205,45.2331599999999,-88.370834,10.394846038930524,8.026874674711962,4.382182848065498,7.07102319487123,NA,0.07536328827279841,1256,1.6275748523493474,-11.456793795105082,4.716745677384967,1.8522958996877361,0.03162277660168379,4.00048784863521,0.03162277660168379,2.130962223973011,1,8.454052353753198,0.03162277660168379,2.0362245202840823,NA,NA,3.913078513030346,2.172213240786409,3.8119373909142436,1987.5408803342889,-1.7755589058178058,-1.9461393950867476,-2.336689472496354,-1.9461393950867476,-1.6952175600111217
502300,Little Newton Lake,Northern Lakes and Forests,Northeast Sands,040301050302,45.36582294,-88.12427682,10.693139695545048,8.236256803591651,4.770756435173042,11.167565665859307,3.4824969464476037,0.08379108947991239,1256,2.222386127566495,-132.1285129417131,4.980167305275663,2.738795355626265,4.640150935045109,14.924808224292635,0.03162277660168379,0.03162277660168379,1,3.2079588526039418,1.590911688309568,2.3625926976259337,NA,NA,3.8863569471909702,2.166346607803486,3.4567915912967124,172.71074373066662,-1.7730570231256784,-2.268454939645709,-2.5514568042308055,-2.268454939645709,-1.8464094052434292
107500,School Section Lake,North Central Hardwood Forests,Central Sand Hills,040302010301,43.9525412799999,-89.5480119399999,10.210904798666284,7.8791855845852385,4.1273944292716545,4.828957729708139,2.3268181689885052,0.0682707557814739,1049,2.4398770665752814,-95.28756138270613,6.563760553982887,4.444209716023761,0.03162277660168379,7.021377339056987,0.03162277660168379,2.005243127403757,335119988.403825,3.9510757649025154,1.4768209437843167,2.3469126363258033,NA,NA,3.9178939171639438,2.1731344886001502,3.7259400708671313,0.03162277660168379,-1.7342161086082715,-1.9205984001872434,-2.071443847090892,-1.9205984001872434,-1.7342161086082715
