WBIC,mean,ll,ul,slope_group
1858200,-3.037110719659777,-3.218415011879034,-2.8553295924552105,FALSE
2767300,-2.565632533143806,-3.438442837747209,-1.7162463731205309,FALSE
2767100,-2.3791728443765368,-2.864288824931731,-1.9005581963270513,FALSE
2015500,-2.3710632320528875,-2.4982155004714657,-2.2424862146182076,FALSE
994900,-2.347959967529678,-2.4259204762968514,-2.270268649554806,FALSE
2496300,-2.2543475626663003,-2.336992729482661,-2.1720945779652405,FALSE
779300,-2.1996627418121744,-3.146517413325864,-1.2860297750329306,TRUE
104700,-2.098255761775793,-2.181919914781274,-2.0130743169109473,FALSE
1883700,-2.0839066598159914,-2.3362220215424916,-1.827667606599918,FALSE
589400,-2.0733744352470294,-2.1386900206783843,-2.0071629463330973,FALSE
1877900,-2.0460948364862235,-2.3735441959084422,-1.7121771439695248,FALSE
1862100,-1.9878618427119683,-2.0515793959528046,-1.926079467273956,FALSE
991000,-1.984935437052503,-2.1101363135203774,-1.8628226580155656,FALSE
2771200,-1.9705480834017621,-2.639898254291235,-1.3030260921726238,TRUE
994700,-1.9702924186195405,-2.05375272704621,-1.8874644852877145,FALSE
779800,-1.9477160859779763,-2.203147574445949,-1.6874041825599178,FALSE
1881100,-1.9382260871115107,-2.162214213590465,-1.7137095508306246,FALSE
45100,-1.9233622308786595,-2.055782923719563,-1.787913289182986,FALSE
741600,-1.8901912974948862,-2.3710592311806806,-1.4150552900054225,TRUE
421600,-1.8894772253276348,-2.684734261821921,-1.1002931962565659,TRUE
967900,-1.8608829948186694,-1.9436793471314024,-1.7765371714025122,FALSE
1176400,-1.759384006852568,-1.8100882185369638,-1.7087766175324504,FALSE
106600,-1.7013952988521084,-1.9801695887113546,-1.418673669281045,TRUE
1842400,-1.6908142344365402,-1.8210826313646842,-1.56089222068065,TRUE
2757900,-1.6485251965988559,-1.8370580982501725,-1.4618925978205264,TRUE
1881900,-1.5775735993639093,-1.7091540350990677,-1.4448668992743507,TRUE
968800,-1.574303986275434,-1.6388631690145594,-1.5097413436378202,TRUE
184200,-1.5277658861461256,-2.2813505448655786,-0.7746869418809436,TRUE
2901100,-1.5173332843987213,-2.1704240645132153,-0.8612740010448688,TRUE
439800,-1.4705005934048296,-1.6576777724631195,-1.2815555417547013,TRUE
1005800,-1.4264182703855255,-2.1007899631219398,-0.7461587906778059,TRUE
8900,-1.365152434326475,-2.1175354466961394,-0.6320781714870457,TRUE
2478200,-1.3347513223222858,-2.2899662215185628,-0.3703392096695654,TRUE
586800,-1.3293454874827877,-1.5455356490216672,-1.111975826648037,TRUE
778300,-1.327054357428508,-1.4217197430325814,-1.2322734595101295,TRUE
1887500,-1.2706223545798134,-2.1755347394132136,-0.3290378965824427,TRUE
2694000,-1.1813063042005838,-1.4228192164361502,-0.9357667268953868,TRUE
774400,-1.1379778699846685,-1.7860583474081286,-0.49558443415011183,TRUE
182100,-1.1211837826843989,-1.5085264790263802,-0.7377152002112671,TRUE
741500,-1.1178038509151174,-1.3033115944490854,-0.9346667646627372,FALSE
985100,-1.0583723560876679,-1.1069420817067583,-1.0094367834713833,FALSE
981500,-0.8289636255923543,-1.6736966904028778,0.03570094181574062,TRUE
425600,-0.7739430073696478,-1.5052972336817965,-0.032754808482639244,TRUE
181800,-0.738049340326586,-1.3597528118124318,-0.11350583633910821,FALSE
740400,-0.7304686166139475,-1.3794577418221663,-0.08661016620633738,FALSE
417400,-0.6889440679125531,-1.3643950709414192,-0.01435915487947931,FALSE
418300,-0.5396812238891827,-0.6399000941638942,-0.4396774986201615,FALSE
103100,-0.3974241971130877,-1.2159642795702676,0.4300839727323471,FALSE
191100,-0.38743608671994284,-0.609558145456444,-0.16978056144736542,FALSE
2462200,-0.35361006312218973,-0.4730332112573033,-0.23368285000042324,FALSE
2493900,0.5579794007920321,0.45408847175754047,0.6626470290590097,FALSE
2630100,0.7615360467800278,-0.2408044650043735,1.7736366644294814,FALSE
