FID_1,wiscwaterl,SiteID,clustid1,clustid2,clustid3,SiteType,Latitude,Longitude,NEAR_DIST,Count_,Cap_GPD
0,1.00000000000,1000800,3.00000000000,2.00000000000,4.00000000000,Lake,44.20690570000,-89.45531352000,682.00966327400,14,19368000
1,2.00000000000,1012000,2.00000000000,4.00000000000,3.00000000000,Lake,44.13008866000,-89.50988124000,1034.81675217000,14,16524000
2,3.00000000000,101300,3.00000000000,4.00000000000,3.00000000000,Lake,44.13763197000,-89.29062280000,2081.52934792000,2,1584000
3,4.00000000000,102100.4,2.00000000000,4.00000000000,3.00000000000,Lake,44.06916056000,-89.26226249000,1017.36299955000,8,9604800
4,5.00000000000,102900,3.00000000000,4.00000000000,3.00000000000,Lake,44.04305832000,-89.21679462000,454.73202071900,3,3744000
5,6.00000000000,103900.4,2.00000000000,4.00000000000,3.00000000000,Lake,44.06590828000,-89.23238535000,1465.42873279000,4,4968000
6,7.00000000000,104600,3.00000000000,4.00000000000,4.00000000000,Lake,44.02402792000,-89.20872596000,356.59393075500,7,7308000
7,8.00000000000,105200,1.00000000000,4.00000000000,3.00000000000,Lake,44.04569543000,-89.21047952000,885.96756978500,2,2304000
8,9.00000000000,105800.4,3.00000000000,2.00000000000,4.00000000000,Lake,44.10928491000,-89.38854788000,1226.11941263000,9,13680000
9,10.00000000000,106900.4,3.00000000000,4.00000000000,3.00000000000,Lake,43.98497303000,-89.55201905000,1462.06603021000,3,3888000
10,11.00000000000,107900,1.00000000000,4.00000000000,3.00000000000,Lake,44.05476309000,-89.23386028000,2136.56208128000,3,4032000
11,12.00000000000,117400.4,2.00000000000,4.00000000000,3.00000000000,Lake,44.03343979000,-89.30413950000,1043.54142861000,6,8208000
12,13.00000000000,131100,2.00000000000,4.00000000000,3.00000000000,Lake,44.00970626000,-88.52733650000,1069.56969002000,1,144000
13,14.00000000000,146100,2.00000000000,1.00000000000,1.00000000000,Lake,43.79888889000,-89.03472220000,2733.99509494000,0,0
14,15.00000000000,149000,1.00000000000,4.00000000000,2.00000000000,Lake,44.01115491000,-89.16072991000,1248.29342835000,6,7272000
15,16.00000000000,156300,2.00000000000,4.00000000000,3.00000000000,Lake,44.00374604000,-89.42895940000,785.48939610900,8,9720000
16,17.00000000000,1631900,3.00000000000,4.00000000000,3.00000000000,Lake,46.12161850000,-89.15208040000,5224.08147591000,0,0
17,18.00000000000,182100.4,2.00000000000,4.00000000000,3.00000000000,Lake,44.15160180000,-89.16386665000,1216.65164350000,5,4917600
18,19.00000000000,182300.4,1.00000000000,4.00000000000,2.00000000000,Lake,44.23591107000,-89.14031928000,2630.64265196000,0,0
19,20.00000000000,1835300.2,3.00000000000,2.00000000000,4.00000000000,Lake,46.00847200000,-89.62937900000,7761.63142454000,0,0
20,21.00000000000,1842400.2,3.00000000000,2.00000000000,4.00000000000,Lake,45.99964200000,-89.61040800000,6678.93288527000,0,0
21,22.00000000000,186400.4,2.00000000000,4.00000000000,3.00000000000,Lake,44.21267758000,-89.16930289000,1106.42767237000,3,4320000
22,23.00000000000,1881900,1.00000000000,3.00000000000,2.00000000000,Lake,46.00623900000,-89.69587600000,3824.48812125000,0,0
23,24.00000000000,189600,2.00000000000,4.00000000000,3.00000000000,Lake,44.17085723000,-89.16477400000,1391.26008234000,3,3290400
24,25.00000000000,190200.4,2.00000000000,4.00000000000,3.00000000000,Lake,44.14761258000,-89.15247780000,1099.11150095000,4,3189600
25,26.00000000000,191100.4,3.00000000000,4.00000000000,4.00000000000,Lake,44.21630946000,-89.12494537000,1829.53152829000,1,108000
26,27.00000000000,195400,1.00000000000,4.00000000000,3.00000000000,Lake,44.08860619000,-89.11802775000,2495.53951056000,1,1440000
27,28.00000000000,196100.4,1.00000000000,4.00000000000,3.00000000000,Lake,44.23275643000,-89.16245575000,2132.61671945000,2,2736000
28,29.00000000000,197300.4,2.00000000000,4.00000000000,3.00000000000,Lake,44.16246304000,-89.16177896000,584.36589891100,2,1850400
29,30.00000000000,2014700,1.00000000000,3.00000000000,2.00000000000,Lake,46.04077800000,-89.68554700000,2864.98206248000,0,0
30,31.00000000000,2017500,3.00000000000,2.00000000000,4.00000000000,Lake,46.00794100000,-89.60631400000,6595.70035654000,0,0
31,32.00000000000,2331600.2,1.00000000000,4.00000000000,2.00000000000,Lake,46.01289100000,-89.67161300000,4628.65788656000,0,0
32,33.00000000000,2332400,1.00000000000,1.00000000000,2.00000000000,Lake,46.03397300000,-89.63022800000,7089.84749439000,0,0
33,34.00000000000,245800,2.00000000000,4.00000000000,3.00000000000,Lake,44.08033239000,-89.21079644000,1707.23464401000,5,4392000
34,35.00000000000,246900,1.00000000000,4.00000000000,2.00000000000,Lake,44.09625569000,-89.22236325000,1448.95016714000,4,3672000
35,36.00000000000,247200,2.00000000000,4.00000000000,3.00000000000,Lake,44.14268002000,-89.21698870000,1166.96880873000,5,5616000
36,37.00000000000,247700,2.00000000000,4.00000000000,3.00000000000,Lake,44.16952978000,-89.21019065000,1646.11655080000,5,5904000
