FID,TNMID,GNIS_ID,AreaAcres,AreaSqKm,States,HUC4,Name,Ha,Pct_In_NWI,Ha_In_NWI,LAT,Lon,ZoneID
0,{47CC1A92-5718-4C0A-8A01-B75D1703337C},0.000000000000000,7086887.000000000000000,28680.238276700002000,"AR,TN,KY",0801,Lower Mississippi-Hatchie,284215.895491999980000,14.686335577900000,41740.900117600002000,36.007401094300000,-89.669251406599997,HU4_52
1,{F663F0A7-0320-48A9-9046-084C76D0DF65},0.000000000000000,14301906.000000000000000,57879.020093599996000,"AR,MO",1101,Upper White,4203287.600499999700000,65.378652114700003,2748052.777619999800000,36.681822959500003,-92.168548974999993,HU4_67
2,{D5704948-EFDE-45F7-A565-5BA43A63F64F},0.000000000000000,10774739.000000000000000,43604.772657300004000,AR,0802,Lower Mississippi-St. Francis,2116228.511400000200000,57.037264872400002,1207038.860949999900000,36.312156256100003,-90.151168126800002,HU4_66
3,{4BCD02F8-056A-44F0-855D-C8BDBA52BA41},0.000000000000000,13306688.000000000000000,53851.428735000001000,"AR,MO,OK,KS",1107,Neosho-Verdigris,1171928.450040000000000,64.314211815299998,753716.545589999990000,36.952012321500000,-94.404363330600006,HU4_68
4,{C223BA78-71CB-40DE-934A-38497FB84FBD},0.000000000000000,11911225.000000000000000,48204.067695400001000,"MO,KS",1029,Gasconade-Osage,4256729.658880000000000,87.071077844900003,3706380.394890000100000,37.951546399500003,-93.388135338200001,HU4_65
5,{CF2DDBD7-15E1-4D0D-A7B1-81969768B536},0.000000000000000,8064065.000000000000000,32634.825445300001000,"IL,KY,IN",0514,Lower Ohio,2263328.487230000100000,66.973026371100005,1515819.584460000000000,37.925165210999999,-87.244260720699998,HU4_49
6,{6C9DC7C1-CFD1-426C-91DF-F48849F57AFE},0.000000000000000,6621718.000000000000000,26797.726527700001000,"MO,KS",1030,Lower Missouri,2679772.652820000000000,98.467449702400003,2638703.788980000200000,38.911633389800002,-92.872554454199999,HU4_64
7,{A477E6F7-600F-4449-B2C7-371C6FC6DDFC},0.000000000000000,5696936.000000000000000,23055.184688000001000,"IN,OH,KY",0509,Middle Ohio,2003375.688769999900000,76.670687255999994,1536001.908880000000000,38.975922048000001,-83.620776454999998,HU4_48
8,{F7F1024D-E899-48FB-94C4-4BE57897F739},0.000000000000000,10937130.000000000000000,44261.959661499997000,IL,0714,Upper Mississippi-Kaskaskia-Meramec,4426195.966140000100000,99.999849096500000,4426189.286799999900000,38.286827813400002,-89.846601737300006,HU4_51
9,{7ED73B78-B141-47CA-93EE-18EF6D95C252},0.000000000000000,9394225.000000000000000,38017.906353099999000,"MD,VA,DC,WV",0207,Potomac,1500777.363150000100000,27.335107536100001,410239.106063999990000,39.540781841099999,-78.197023514300000,HU4_20
10,{8B426874-4355-422E-B8CB-AA95AFAD1EDB},0.000000000000000,4720678.000000000000000,19104.322804399999000,"MD,PA,WV",0502,Monongahela,837751.903380000030000,81.521628212300001,682948.991938999970000,39.934602670399997,-79.667416240899996,HU4_21
11,{1BE230EF-83F2-4CFD-B90E-523302D58B3B},0.000000000000000,3434760.000000000000000,13900.281467400000000,IN,0508,Great Miami,1390028.146819999900000,100.000000000000000,1390028.146810000100000,39.878645745000000,-84.484459311699993,HU4_46
12,{A2FFE2DD-62E2-4D13-8D0B-17FF1C52C3E7},0.000000000000000,4167769.000000000000000,16866.728586599998000,OH,0506,Scioto,1686672.858800000000000,100.000000000000000,1686672.858770000000000,39.784504474300000,-83.146697394100002,HU4_45
