FID,TNMID,GNIS_ID,AreaAcres,AreaSqKm,States,HUC4,Name,Ha,Pct_In_NWI,Ha_In_NWI,LAT,Lon,ZoneID
13,{1BE3F54B-AD83-417E-ACE9-910C103409EA},0.000000000000000,6451851.000000000000000,26110.283240600002000,"IL,MO,IA",0711,Upper Mississippi-Salt,2611028.324229999900000,100.000000000000000,2611028.324060000000000,39.700070886799999,-91.599506805399997,HU4_60
14,{B5740AE5-2B94-45B8-A731-240102F23BFB},0.000000000000000,5151891.000000000000000,20849.417006000000000,OH,0504,Muskingum,2084941.700660000100000,100.000000000000000,2084941.700620000000000,40.350607106200002,-81.860840617999997,HU4_44
15,{94690FBA-D71C-432A-B701-20D473FD6870},0.000000000000000,21090846.000000000000000,85353.485789099999000,"IL,IN",0512,Wabash,8535348.579840000700000,100.000000000000000,8535348.579539999400000,39.628250451299998,-86.811846408099996,HU4_38
16,{06A768B5-A367-424C-BF6E-CDF11AF5EDFC},0.000000000000000,7013256.000000000000000,28382.257195599999000,"MO,IA",1028,Chariton-Grand,2838225.719550000000000,100.000000000000000,2838225.719469999900000,40.206230793600000,-93.518781968900001,HU4_62
17,{6F1A4B05-D4F4-4CCC-B2F6-3145111E2FA8},0.000000000000000,4645677.000000000000000,18800.797574799999000,"NJ,NY,CT",0203,Lower Hudson-Long Island,1571657.489839999900000,99.999932348499996,1571656.662890000000000,40.830681073999997,-73.728693664299996,HU4_13
18,{B18C2210-1C3C-49E5-8489-DFD48CF3FEF3},0.000000000000000,11454015.000000000000000,46353.762441999999000,IL,0713,Lower Illinois,4635376.244819999700000,100.000000000000000,4635376.244400000200000,40.303501817099999,-89.674060488999999,HU4_50
19,{DC7609F6-C576-4E5E-BE22-342E92DD5FBD},0.000000000000000,8571166.000000000000000,34687.032569100003000,"OH,PA",0503,Upper Ohio,2870547.201630000000000,78.962364203400000,2266651.935949999800000,40.181073942399998,-80.966177380999994,HU4_47
20,{19BE1067-8812-4E6E-AA77-1FEC7139AB2C},0.000000000000000,1945129.000000000000000,7871.827614179999700,OH,0411,Southern Lake Erie,787182.761370999970000,100.000000000000000,787182.761301000020000,41.418969080700002,-81.429061812900002,HU4_43
21,{88D45FD4-7807-4B1D-83C5-6A614A9F7850},0.000000000000000,8707036.000000000000000,35236.893191399999000,"IA,KS,NE",1024,Missouri-Nishnabotna,2795053.728310000200000,86.564569002499994,2419526.213240000000000,40.619914424299999,-95.080567723399994,HU4_63
22,{AEEC3E81-8A65-4601-B4E2-F21C603933F4},0.000000000000000,7597632.000000000000000,30747.194536700001000,"IN,MI,OH",0410,Western Lake Erie,3074719.453879999900000,100.000000000000000,3074719.453369999800000,41.285224864299998,-83.912337699399998,HU4_41
23,{613B4976-7089-4688-A0B5-E9E1206CD447},0.000000000000000,7504631.000000000000000,30370.827100899998000,"PA,NY",0501,Allegheny,3037082.709919999800000,100.000000000000000,3037082.710130000000000,41.384107671300001,-79.187399084600003,HU4_22
24,{403D50BA-AB23-4953-A9E3-88D309830AF8},0.000000000000000,11505989.000000000000000,46564.097995099997000,"DE,NJ,PA",0204,Delaware-Mid Atlantic Coastal,3996561.496689999900000,97.485633194000002,3791418.206040000100000,40.564911445600004,-75.105877487599997,HU4_16
25,{567B48C4-0554-419E-9998-BFCAF8F57203},0.000000000000000,2909099.000000000000000,11772.963430899999000,CT,0110,Connecticut Coastal,1177296.343010000000000,99.999999999799996,1177296.343010000000000,41.698235135899999,-72.811955598500006,HU4_11
26,{4817AAA4-2A38-4ADC-8469-4BDFC0B3EAA8},0.000000000000000,2841155.000000000000000,11497.994854700000000,"MA,CT,RI",0109,Massachusetts-Rhode Island Coastal,1149780.197010000000000,100.000000000000000,1149780.219090000000000,41.927852846699999,-71.123100596100002,HU4_10
27,{0067D865-23F8-458D-A526-A8691E422229},0.000000000000000,17599237.000000000000000,71223.137438799997000,"PA,NY",0205,Susquehanna,7122313.743959999600000,98.976587712500006,7049423.110070000400000,41.259818173600003,-76.903215619400001,HU4_18
28,{65F7A5A2-CD70-4A6A-9327-3FC389765FD0},0.000000000000000,6995340.000000000000000,28309.753297499999000,IL,0712,Upper Illinois,2830975.332220000200000,100.000000000000000,2830975.330440000200000,41.541220381899997,-87.794508660000005,HU4_36
29,{0EAB2E11-6C8E-4789-87A4-08382366B32C},0.000000000000000,8716428.000000000000000,35274.898939500003000,"CN,MI,NY,OH,PA",0412,Lake Erie,759275.084072000000000,99.995395701999996,759240.133258000020000,42.569465816099999,-79.016969618700003,HU4_42
30,{71D602AA-741D-43A6-B2FE-2B6AD94CE1C8},0.000000000000000,2281019.000000000000000,9231.155820649999400,"NY,CN",0413,Southwestern Lake Ontario,911206.139350999960000,100.000000000000000,911206.139332000050000,42.786749111500001,-78.018957082599997,HU4_23
31,{13EDE639-F510-44D2-B6BF-5726BF2F50AB},0.000000000000000,8274561.000000000000000,33486.688749300003000,"IN,MI",0405,Southeastern Lake Michigan,3348668.875640000200000,100.000000000000000,3348668.875150000200000,42.414793553099997,-85.314569397599996,HU4_37
32,{38AEEE92-279A-4803-8585-5A52C19F0A8A},0.000000000000000,3907253.000000000000000,15812.435314300001000,"MI,CN",0409,St. Clair-Detroit,1021624.133569999900000,99.975013365199999,1021368.977810000000000,42.687956729100001,-83.157115773200005,HU4_39
33,{8C9DCCD7-D36F-4A4A-BE8E-A54FC66CF2A8},0.000000000000000,5994456.000000000000000,24259.232916600002000,IA,1023,Missouri-Little Sioux,2425923.292020000100000,85.758166108599994,2080427.326070000000000,42.427781035099997,-95.744077012999995,HU4_61
34,{D7B9DD7C-7C5D-4426-BB98-391591F29410},0.000000000000000,1271879.000000000000000,5147.224019790000100,"IL,WI,IN",0404,Southwestern Lake Michigan,514722.402056000020000,100.000000000000000,514722.402154000010000,42.640558884100003,-87.672622377099998,HU4_35
35,{2A907630-6A4C-428D-B5A5-A66F2DD1B30C},0.000000000000000,6986982.000000000000000,28275.928034400000000,"IL,WI",0709,Rock,2827592.803429999900000,100.000000000000000,2827592.803619999900000,42.494911591700003,-89.290521612600003,HU4_34
36,{58BBAD9F-B163-4D38-9D91-C8680A2393FC},0.000000000000000,5499592.000000000000000,22256.542577000000000,IA,0706,Upper Mississippi-Maquoketa-Plum,2225654.258250000000000,100.000000000000000,2225654.257770000000000,42.816684393800003,-91.147851506099997,HU4_59
37,{ADB75317-04DA-4067-AA98-F15823CA1CB6},0.000000000000000,14678417.000000000000000,59402.740401299998000,IA,0708,Upper Mississippi-Iowa-Skunk-Wapsipinicon,5940274.040249999600000,100.000000000000000,5940274.040110000400000,42.068132076700003,-92.188977848799993,HU4_57
38,{6BA5ED1E-5284-4E02-9969-943CD6A86D23},0.000000000000000,4339367.000000000000000,17561.175958700002000,"NY,CN",0414,Southeastern Lake Ontario,1756117.935570000000000,100.000000000000000,1756117.595780000100000,43.053835858900001,-76.471439638000007,HU4_17
39,{F646200B-E311-4C3B-B730-7A7A09624D88},0.000000000000000,8106059.000000000000000,32804.770121599999000,"MA,NY,NJ",0202,Upper Hudson,3280477.012170000000000,100.000000000000000,3280477.012110000000000,42.760221742600002,-74.122903373000000,HU4_12
40,{3FD8D82E-B3BD-4F21-83A7-7790925B4515},0.000000000000000,3204139.000000000000000,12966.972846600000000,"MA,NH",0107,Merrimack,1296697.284800000000000,100.000000000000000,1296697.284710000000000,43.150561237700003,-71.595393950200005,HU4_9
41,{26A057C1-0725-409B-A33D-96E8407063F0},0.000000000000000,9251473.000000000000000,37440.200036499999000,"IA,MN",0710,Des Moines,3744020.003920000000000,100.000000000000000,3744020.003889999800000,42.217404700199999,-94.098709902300001,HU4_56
42,{04E4A162-3BB8-4F87-897B-A00E49DE7F8D},0.000000000000000,3077588.000000000000000,12454.827383899999000,ME,0106,Saco,1245404.891289999900000,99.999999418700000,1245404.958279999900000,43.647112078799999,-70.753703074900002,HU4_8
43,{2A116CC4-4E9B-493F-B689-EE0CC70C00DE},0.000000000000000,7208702.000000000000000,29173.218631500000000,"CT,MA,NH,CN,VT",0108,Connecticut,2887725.317300000200000,99.995666953699995,2887600.185089999800000,43.238780580700002,-72.325755763700002,HU4_7
44,{EDB0374B-AFB5-46FF-9FE7-D013D7F87D9E},0.000000000000000,6887297.000000000000000,27872.508395600002000,"MN,WI",0704,Upper Mississippi-Black-Root,2787250.838359999900000,100.000000000000000,2787250.839329999900000,44.249020726600001,-91.895873194299995,HU4_55
45,{0461609F-0019-4053-B903-3D860C2C3127},0.000000000000000,2257172.000000000000000,9134.648800659999300,"ME,CN",0104,Androscoggin,913414.926328000030000,99.991215350900006,913334.685988000010000,44.582616406299998,-70.690963794599995,HU4_6
46,{660EDACF-8E01-4577-A879-C553AC93165F},0.000000000000000,9388661.000000000000000,37995.390814400002000,"IA,MN,SD,NE",1017,Missouri-Big Sioux,1320324.026220000100000,54.642442081600002,721457.291418000010000,43.550485319300002,-96.441009157899998,HU4_58
47,{470A24DA-0E3B-456D-804F-5F49CE5A80ED},0.000000000000000,5213540.000000000000000,21098.906497299999000,"MI,CN",0407,Northwestern Lake Huron,1830250.589429999900000,99.994936914199997,1830157.753839999900000,45.248928738099998,-84.223651744300000,HU4_31
48,{01E6680B-E827-42E0-9D17-0BAA1B3B4310},0.000000000000000,3772351.000000000000000,15266.496832600000000,"CN,ME",0103,Kennebec,1526477.137900000000000,99.989642452400005,1526319.032260000000000,45.054408719300000,-69.932946010300000,HU4_4
49,{DBA88F79-FFAD-4064-939E-8A507A8641E0},0.000000000000000,7397458.000000000000000,29937.100365099999000,"ME,CN",0105,Maine Coastal,1992147.249310000100000,99.989141936199999,1991930.947860000000000,44.561810992500000,-68.321930978099999,HU4_3
50,{5A2F30C9-D09A-4463-A58F-42D846D5BF93},0.000000000000000,7637098.000000000000000,30906.911002199999000,"WI,MI",0707,Wisconsin,3090691.100550000100000,100.000000000000000,3090691.100219999900000,44.420987529000001,-89.909297073199994,HU4_33
51,{49894FD9-0F26-4626-AD89-20CFB3A985C2},0.000000000000000,21932831.000000000000000,88760.952304799997000,"CN,MI",0408,Southwestern Lake Huron-Lake Huron,2366449.675820000000000,100.000000000000000,2366449.678309999900000,43.573944158800003,-83.886381335899998,HU4_40
52,{56E2C0F9-BEFA-4BE3-8134-15E24EEE604B},0.000000000000000,6104131.000000000000000,24703.078878699998000,WI,0705,Chippewa,2470307.887529999900000,100.000000000000000,2470307.887819999800000,45.414872273199997,-91.098088176199994,HU4_27
53,{9C9B9365-DFD1-4E61-9005-593B99468880},0.000000000000000,10885481.000000000000000,44052.939985400000000,"IA,MN",0702,Minnesota,4405294.000799999600000,90.102456079899994,3969278.090799999900000,44.681422049699997,-95.208228103400003,HU4_53
54,{84FA3A11-3D62-4DF7-AA9B-044E583A5D33},0.000000000000000,5513778.000000000000000,22313.953198300002000,"ME,CN",0102,Penobscot,2231315.108440000100000,99.995744629000001,2231220.157459999900000,45.581091344599997,-68.896451271199993,HU4_2
55,{075034BA-F793-45FE-B860-F5FED41D39E2},0.000000000000000,21580579.000000000000000,87335.407308900001000,MI,0406,Northeastern Lake Michigan-Lake Michigan,2913004.989029999800000,100.000000000000000,2913004.986639999800000,44.618102116499998,-85.641003362800006,HU4_30
56,{A0FBBEC7-8532-4AA9-849D-7E007543655D},0.000000000000000,4940478.000000000000000,19993.841186599999000,"MN,WI",0703,St. Croix,1999384.118550000000000,100.000000000000000,1999384.118440000100000,45.856369822100000,-92.506030237199994,HU4_29
57,{34011D7C-6FD8-4C9E-8FEE-65B6A4A37F0B},0.000000000000000,11977041.000000000000000,48470.422652699999000,"WI,MI",0403,Northwestern Lake Michigan,4847042.265709999900000,100.000000000000000,4847042.265370000200000,45.100234375200003,-88.233231805800003,HU4_32
58,{A40BFB7D-1F3A-44F5-BAFD-9DF5D9329859},0.000000000000000,21615142.000000000000000,87475.281946000003000,"CN,ME,NY",0415,Northeastern Lake Ontario-Lake Ontario-St. Lawrence,4195330.498960000500000,99.990163420100004,4194671.830880000300000,44.294277662699997,-74.049176786000004,HU4_5
59,{48BEF133-8DCE-40B4-BDEA-CB44C2D72729},0.000000000000000,12870588.000000000000000,52086.555175499998000,MN,0701,Mississippi Headwaters,5208655.521030000400000,100.000000000000000,5208655.518210000400000,46.242897412399998,-94.244654863899996,HU4_25
60,{AAB11E45-75A7-47FE-85F1-AB3621CD80BD},0.000000000000000,9019317.000000000000000,36500.677248200001000,"CN,ME",0101,St. John,1890275.027440000100000,99.986982487800006,1890028.952959999900000,46.708706328600002,-68.838761125700003,HU4_1
61,{7F48DCE2-85EB-432F-8CEA-7C5D729D7D84},0.000000000000000,6283320.000000000000000,25428.249058300000000,"MN,CN",0401,Western Lake Superior,2368813.000599999900000,99.994564133699996,2368684.217809999800000,47.053486825000000,-91.629165822600001,HU4_28
62,{88409808-730B-4288-888C-639A159B174F},0.000000000000000,25538854.000000000000000,103354.327760999990000,MI,0402,Southern Lake Superior-Lake Superior,1864593.054350000100000,100.000000000000000,1864593.055390000100000,46.630538666699998,-88.006711615699999,HU4_24
63,{03B111FD-FE8C-4720-9137-5B03422F3667},0.000000000000000,17213828.000000000000000,69663.408847700004000,"MN,CN",0903,Rainy,2926256.847279999900000,99.990693980900005,2925983.712319999900000,48.164444899199999,-93.249674112299999,HU4_26
64,{B463A433-86AE-45DE-81FB-011C0E38C4CA},0.000000000000000,27732848.000000000000000,112233.300055999990000,"CN,ND,MN",0902,Red,5206758.059849999800000,87.895269656699995,4576493.691979999700000,47.569455362699998,-96.134434340699997,HU4_54
