"wiscwaterlevelid","clusterid","SiteID","SiteType","Latitude","Longitude"
103,3,"K61","Well",46.02575,-89.587383
104,2,"K7","Well",45.997517,-89.6111
105,2,"K75","Well",46.004717,-89.6145
106,2,"K9","Well",46.00345,-89.626567
107,1,"KE-01/22E/13-0046","Well",42.53715556,-87.8432167
108,3,"LA-30/11E/25-1310","Well",45.0465,-89.11236
109,3,"LA-34/10E/13-0537","Well",45.43427,-89.18789
110,1,"LF-01/03E/01-0294","Well",42.5819483,-90.0759583
111,3,"LR21","Well",46.011,-89.685183
112,1,"ML-06/21E/32-0148","Well",42.93681944,-88.0289667
113,1,"ML-08/21E/35-0118","Well",43.11682,-87.97673
114,4,"MN-19/23E/35-0028","Well",44.07372,-87.70171
115,2,"MO-15/03W/05-0010","Well",43.81108,-90.77041
116,1,"MO-15/04W/34-0002","Well",43.72833,-90.83222
117,1,"MO-18/02W/29-0017","Well",44.00722,-90.65028
118,1,"MQ-14/09E/30-0026","Well",43.66575,-89.46558
119,1,"MQ-16/08E/12-0009","Well",43.87927,-89.49315
120,4,"MQ-17/08E/35-0104","Well",43.89419,-89.51486
121,4,"MR-29/03E/24-0027","Well",44.97913,-90.09569
122,3,"MR-29/07E/24-0100","Well",44.98669,-89.62886
123,3,"MT-37/20E/34-0007","Well",45.63739,-87.98367
124,3,"ON-36/09E/09-0024","Well",45.62746,-89.3668
125,3,"PK-34/18W/26-0093","Well",45.39774,-92.55576
126,3,"PK-35/17W/08-0040","Well",45.52877,-92.50456
127,4,"PP-24/16W/26-0039","Well",44.51306,-92.29056
128,4,"PP-25/12W/32-0040","Well",44.60663,-91.85683
129,3,"PR-35/03E/04-0065","Well",45.55302,-90.11487
130,4,"PT-21/08E/10-0036","Well",44.3095,-89.52915
131,4,"PT-22/10E/32-1320","Well",44.33292,-89.30992
132,4,"PT-23/10E/18-0276","Well",44.47085,-89.33302
133,4,"PT-24/10E/16-1324","Well",44.56192,-89.2875
134,1,"RI-10/01E/26-0023","Well",43.3111,-90.34235
135,1,"RO-01/12E/35-0040","Well",42.50529277,-89.0345543
136,4,"SH-26/18E/30-0225","Well",44.70117,-88.36289
137,4,"SH-27/13E/04-0221","Well",44.84508,-88.92464
138,3,"SH-27/16E/34-0027","Well",44.77415,-88.53732
139,1,"SK-10/06E/02-0003","Well",43.37954,-89.75527
140,4,"SK-13/02E/14-0230","Well",43.60128,-90.22521
141,2,"SW-41/09W/28-0007","Well",46.00143,-91.48877
142,4,"TA-31/04W/13-0001","Well",45.16303,-90.81097
143,2,"TR-19/08W/35-0001","Well",44.07274,-91.3082
144,4,"TR-21/07W/17-0071","Well",44.29546,-91.25866
145,4,"VE-12/04W/34-0052","Well",43.47831,-90.82902
146,1,"VE-14/07W/26-0008","Well",43.65775,-91.17374
147,1,"VE-14/07W/28-0271","Well",43.6558,-91.22263
148,1,"VE-14/07W/28-0272","Well",43.6558,-91.22263
149,3,"VI-40/10E/28-0033","Well",45.92104,-89.24524
150,1,"VI-41/10E/09-0003","Well",46.0545,-89.25702
151,3,"WB-41/12W/26-0048","Well",46.01047,-91.8342
152,4,"WD-21/06E/36-1298","Well",44.24809,-89.72516
153,3,"WD1","Well",46.070383,-89.68345
154,3,"WD2","Well",46.098617,-89.669133
155,3,"WD3","Well",46.096317,-89.64575
156,3,"WD4","Well",46.070383,-89.632267
157,3,"WD5","Well",46.0559,-89.616583
158,1,"WK-05/19E/02-0031","Well",42.9266,-88.2217583
159,4,"WP-21/13E/25-0002","Well",44.26248,-88.87483
160,4,"WP-22/12E/07-0792","Well",44.39217,-89.09786
161,4,"WP-22/14E/12-0013","Well",44.39859,-88.74399
162,4,"WP-25/14E/17-0771","Well",44.63915,-88.81899
163,4,"WS-18/10E/01-0105","Well",44.06271,-89.25464
164,4,"WS-19/08E/15-0008","Well",44.1205,-89.53571
165,1,"WW-01/16E/10-0083","Well",42.55335278,-88.58466389
166,1,"WW-03/15E/33-0009","Well",42.66780556,-88.7346
167,1,"WW-04/17E/02-0908","Well",42.83501297,-88.4542644
