LakeID,WiscID,Name,Date,precipCMDV,Value
45100,16,Cedar Lake,1948/11,-79.60472107,2078.736
45100,16,Cedar Lake,1948/12,-93.9473877,2128.7232
45100,16,Cedar Lake,1949/01,-101.7236404,2165.2992
45100,16,Cedar Lake,1949/02,-130.7686462,2177.796
45100,16,Cedar Lake,1949/03,-143.4670563,2195.7792
45100,16,Cedar Lake,1949/04,-142.6279755,2228.6976
45100,16,Cedar Lake,1949/05,-162.8353882,2212.2384
45100,16,Cedar Lake,1949/06,-123.5435562,2173.8336
45100,16,Cedar Lake,1949/07,-93.838974,2099.4624
45100,16,Cedar Lake,1949/08,-92.77523041,2036.064
45100,16,Cedar Lake,1949/09,-114.5668106,1946.656
45100,16,Cedar Lake,1949/10,-134.3110657,1868.424
45100,16,Cedar Lake,1949/11,-170.4721375,1799.844
45100,16,Cedar Lake,1949/12,-196.9499664,1799.5392
45100,16,Cedar Lake,1950/01,-195.0835571,1882.14
45100,16,Cedar Lake,1950/02,-224.0353851,1932.432
45100,16,Cedar Lake,1950/03,-227.6328888,1967.484
45100,16,Cedar Lake,1950/04,-207.7963104,2084.832
45100,16,Cedar Lake,1950/05,-216.451889,2042.16
45100,16,Cedar Lake,1950/06,-206.3719788,1990.344
45100,16,Cedar Lake,1950/07,-109.3598938,1920.24
45100,16,Cedar Lake,1950/08,-94.36839294,1981.2
45100,16,Cedar Lake,1950/09,-93.21214294,1860.296
45100,16,Cedar Lake,1950/10,-134.8459778,1787.652
45100,16,Cedar Lake,1950/11,-167.4953918,1722.12
45100,16,Cedar Lake,1950/12,-169.0773926,1721.5104
45100,16,Cedar Lake,1951/01,-188.1225586,1717.548
45100,16,Cedar Lake,1951/02,-207.5049744,1775.1552
45100,16,Cedar Lake,1951/03,-180.6325531,1853.184
45100,16,Cedar Lake,1951/04,-112.3377151,2031.1872
45100,16,Cedar Lake,1951/05,-136.194046,2185.416
45100,16,Cedar Lake,1951/06,-139.5236359,2184.4
45100,16,Cedar Lake,1951/07,-101.8957138,2106.168
45100,16,Cedar Lake,1951/08,-75.04746246,2071.116
45100,16,Cedar Lake,1951/09,-62.25837708,2029.968
45100,16,Cedar Lake,1951/10,17.30045891,2081.784
45100,16,Cedar Lake,1951/11,12.87978935,2155.5456
45100,16,Cedar Lake,1951/12,-4.95762825,2197.608
45100,16,Cedar Lake,1952/01,-8.570959091,2228.6976
45100,16,Cedar Lake,1952/02,-52.17046356,2267.712
45100,16,Cedar Lake,1952/03,-42.45162964,2358.136
45100,16,Cedar Lake,1952/04,-52.61263275,2491.74
45100,16,Cedar Lake,1952/05,-48.4668808,2487.168
45100,16,Cedar Lake,1952/06,-33.16671753,2457.9072
45100,16,Cedar Lake,1952/07,98.80718994,2452.4208
45100,16,Cedar Lake,1952/08,108.5205231,2462.784
45100,16,Cedar Lake,1952/09,69.57193756,2377.44
45100,16,Cedar Lake,1952/10,15.80443764,2255.52
45100,16,Cedar Lake,1952/11,31.92826653,2209.8
45100,16,Cedar Lake,1952/12,17.51210213,2248.662
45100,16,Cedar Lake,1953/01,-15.65089989,2309.876
45100,16,Cedar Lake,1953/02,-5.326070786,2382.012
45100,16,Cedar Lake,1953/03,-26.89806938,2392.68
45100,16,Cedar Lake,1953/04,1.58426857,2447.544
45100,16,Cedar Lake,1940/04,-221.0145416,1847.088
45100,16,Cedar Lake,1940/06,-91.57496643,1892.1984
45100,16,Cedar Lake,1940/07,-109.973793,1914.144
45100,16,Cedar Lake,1940/08,6.768453598,1901.952
45100,16,Cedar Lake,1940/09,-21.26896286,1935.48
45100,16,Cedar Lake,1940/10,-30.52254868,1880.616
45100,16,Cedar Lake,1940/11,-6.109794617,1882.4448
45100,16,Cedar Lake,1940/12,-38.8897934,1889.76
45100,16,Cedar Lake,1941/01,-48.69020844,1953.768
45100,16,Cedar Lake,1941/02,-91.54496002,1962.912
45100,16,Cedar Lake,1941/03,-121.9422913,1962.912
45100,16,Cedar Lake,1941/04,-122.8928757,2086.0512
45100,16,Cedar Lake,1941/05,-94.73471069,2079.9552
45100,16,Cedar Lake,1941/06,-116.611618,2013.204
45100,16,Cedar Lake,1941/07,-123.3086243,1958.34
45100,16,Cedar Lake,1941/08,-111.6157837,1871.472
45100,16,Cedar Lake,1941/09,-2.096027374,1965.96
45100,16,Cedar Lake,1941/10,48.18563843,2019.3
45100,16,Cedar Lake,1941/11,26.17430496,2072.64
45100,16,Cedar Lake,1941/12,4.330554962,2072.64
45100,16,Cedar Lake,1942/04,-96.65203094,2199.4368
45100,16,Cedar Lake,1942/05,4.780471802,2244.5472
45100,16,Cedar Lake,1942/06,58.71197128,2316.48
45100,16,Cedar Lake,1942/07,95.3833847,2419.434667
45100,16,Cedar Lake,1942/08,98.08621216,2483.825032
45100,16,Cedar Lake,1942/09,158.2464752,2489.5048
45100,16,Cedar Lake,1945/04,-67.05361176,2397.252
45100,16,Cedar Lake,1945/05,-19.49760628,2363.724
45100,16,Cedar Lake,1945/06,34.16655731,2472.5376
45100,16,Cedar Lake,1945/07,24.83172417,2468.88
45100,16,Cedar Lake,1945/08,60.47639465,2365.248
45100,16,Cedar Lake,1945/09,119.7296371,2337.816
45100,16,Cedar Lake,1945/10,82.82514191,2337.816
45100,16,Cedar Lake,1945/11,113.4155579,2302.764
45100,16,Cedar Lake,1945/12,86.55388641,2346.96
45100,16,Cedar Lake,1946/03,41.6460495,2613.152
45100,16,Cedar Lake,1946/04,-2.308698654,2529.84
45100,16,Cedar Lake,1946/05,6.677965164,2491.74
45100,16,Cedar Lake,1946/06,45.44813538,2444.496
45100,16,Cedar Lake,1946/07,10.29263115,2471.928
45100,16,Cedar Lake,1946/08,-4.894285202,2405.4816
45100,16,Cedar Lake,1967/02,32.61670685,2072.64
45100,16,Cedar Lake,1967/03,-3.725542068,2075.688
45100,16,Cedar Lake,1967/04,28.22554588,2125.472
45100,16,Cedar Lake,1967/05,31.91146278,2168.652
45100,16,Cedar Lake,1967/06,117.2916336,2139.696
45100,16,Cedar Lake,1967/07,100.6642227,2107.9968
