LakeID,Date,precipCMDV,Value
45100,1949/07,-78.26158333,2099.4624
45100,1949/08,-76.668,2036.064
45100,1949/09,-98.536,1946.656
45100,1949/10,-118.1500833,1868.424
45100,1949/11,-153.09075,1799.844
45100,1949/12,-178.8396667,1799.5392
45100,1950/01,-176.76975,1882.14
45100,1950/02,-205.3365833,1932.432
45100,1950/03,-208.7149167,1967.484
45100,1950/04,-188.0384167,2084.832
45100,1950/05,-196.382,2042.16
45100,1950/06,-186.1604167,1990.344
45100,1950/07,-93.93183333,1920.24
45100,1950/08,-80.314,1981.2
45100,1950/09,-81.3645,1860.296
45100,1950/10,-121.6753333,1787.652
45100,1950/11,-153.3663333,1722.12
45100,1950/12,-153.23675,1721.5104
45100,1951/01,-172.2020833,1717.548
45100,1951/02,-191.29875,1775.1552
45100,1951/03,-165.0824167,1853.184
45100,1951/04,-96.9425,2031.1872
45100,1951/05,-120.9730833,2185.416
45100,1951/06,-124.23175,2184.4
45100,1951/07,-86.97808333,2106.168
45100,1951/08,-59.49408333,2071.116
45100,1951/09,-47.93358333,2029.968
45100,1951/10,33.63616667,2081.784
45100,1951/11,30.33058333,2155.5456
45100,1951/12,13.23216667,2197.608
45100,1952/01,9.5555,2228.6976
45100,1952/02,-34.5825,2267.712
45100,1952/03,-23.70783333,2358.136
45100,1952/04,-32.45408333,2491.74
45100,1952/05,-28.59708333,2487.168
45100,1952/06,-13.70991667,2457.9072
45100,1952/07,116.3803333,2452.4208
45100,1952/08,126.7670833,2462.784
45100,1952/09,87.03858333,2377.44
45100,1952/10,33.3055,2255.52
45100,1952/11,49.27258333,2209.8
45100,1952/12,34.46175,2248.662
45100,1953/01,1.478166667,2309.876
45100,1953/02,10.58616667,2382.012
45100,1953/03,-11.74933333,2392.68
45100,1953/04,16.3145,2447.544
45100,1953/05,19.33766667,2478.024
45100,1953/06,56.95425,2423.16
45100,1953/07,51.56508333,2362.2
45100,1953/08,68.09158333,2309.368
45100,1953/09,50.99925,2188.464
45100,1953/10,9.731833333,2068.576
45100,1953/11,-38.92958333,2005.584
45100,1953/12,-57.97375,2005.584
45100,1954/01,-93.92675,2034.8448
45100,1954/02,-123.9814167,2032.254
45100,1954/03,-152.327,2000.0976
45100,1954/04,-107.0718333,2026.92
45100,1954/05,-118.8200833,2030.5776
45100,1954/06,-7.19325,2020.824
45100,1954/07,16.25891667,1985.4672
45100,1954/08,36.30316667,1879.092
45100,1954/09,92.08241667,1859.28
45100,1954/10,151.8024167,1971.4464
45100,1954/11,117.6343333,1988.82
45100,1954/12,98.5845,1994.916
45100,1955/01,50.44316667,2039.62
45100,1955/02,23.648,2057.4
45100,1955/03,-6.14475,2081.1744
45100,1955/04,23.26333333,2150.872
45100,1955/05,49.92383333,2188.464
45100,1955/06,76.17208333,2235.2
45100,1955/07,120.5854167,2089.912
45100,1955/08,93.70191667,2042.7696
45100,1955/09,67.30066667,1985.4672
45100,1955/10,79.48833333,1929.384
45100,1955/11,37.89616667,1912.62
45100,1955/12,0.68975,1918.208
45100,1956/03,-86.06516667,1959.864
45100,1956/04,-86.45575,2010.918
45100,1956/05,-20.66991667,2033.6256
45100,1956/06,-5.777833333,1976.628
45100,1956/07,65.06441667,1925.574
45100,1956/08,115.2024167,1911.096
45100,1956/09,98.109,1878.874286
45100,1956/10,52.05816667,1772.412
45100,1956/11,47.85433333,1733.0928
45100,1956/12,16.329,1742.44
45100,1957/01,-31.13375,1803.8064
45100,1957/02,-81.18041667,1829.4096
45100,1957/03,-117.4230833,1775.46
45100,1957/04,-109.6608333,1749.552
45100,1957/05,-58.60825,1723.644
45100,1957/06,-34.12166667,1729.232
45100,1957/07,-22.40275,1665.4272
45100,1957/08,-33.16875,1557.528
45100,1957/09,-53.38683333,1459.992
45100,1957/10,-71.9305,1391.412
45100,1957/11,-49.34841667,1396.492
45100,1957/12,-66.59116667,1421.892
45100,1958/01,-107.8709167,1416.1008
45100,1958/02,-164.1459167,1420.368
45100,1958/03,-208.4915833,1405.563429
45100,1958/04,-212.5064167,1386.84
45100,1958/05,-240.78675,1306.068
45100,1958/06,-236.0968333,1205.1792
45100,1958/07,-236.6983333,1165.5552
45100,1958/08,-221.8581667,1069.34
45100,1958/09,-199.2536667,1040.892
45100,1958/10,-187.6345,1026.5664
45100,1958/11,-184.9049167,1026.16
45100,1958/12,-239.2313333,1030.224
45100,1959/01,-263.9061667,1022.9088
45100,1959/02,-269.0651667,1028.7
45100,1959/03,-260.2234167,1091.184
45100,1959/04,-248.2916667,1340.5104
45100,1959/05,-232.67575,1387.856
45100,1959/06,-242.0920833,1414.272
45100,1959/07,-209.7685,1324.0512
45100,1959/08,-173.4764167,1316.736
45100,1959/09,-126.8548333,1274.572
45100,1959/10,-55.73666667,1350.264
45100,1959/11,-56.8985,1455.42
45100,1959/12,-35.30533333,1482.5472
45100,1960/01,-56.7335,1583.944
45100,1960/02,-81.00433333,1647.444
45100,1960/03,-104.4314167,1771.904
45100,1960/04,-80.974,1819.656
45100,1960/05,11.571,2044.5984
45100,1960/06,31.47683333,2094.5856
45100,1960/07,66.61183333,2065.528
45100,1960/08,125.0169167,2048.256
45100,1960/09,194.0085,2021.332
45100,1960/10,185.2131667,2038.5024
45100,1960/11,174.5724167,2050.0848
45100,1960/12,114.72775,2066.544
45100,1961/01,56.34983333,2039.112
45100,1961/02,17.31916667,2058.0096
45100,1961/03,32.05008333,2158.492
45100,1961/04,28.05775,2199.4368
45100,1961/05,-1.4365,2177.4912
45100,1961/06,31.75675,2150.872
45100,1961/07,45.87875,2089.912
45100,1961/08,50.728,2089.404
45100,1961/09,148.683,2038.604
45100,1961/10,209.4206667,2068.068
45100,1961/11,219.7145,2076.2976
45100,1961/12,186.1465833,2189.988
45100,1962/01,161.9536667,2225.04
45100,1962/02,147.3864167,2231.136
45100,1962/03,119.6374167,2261.616
45100,1962/05,100.1473333,2336.292
45100,1962/06,119.12425,2310.384
45100,1962/07,132.4276667,2286
45100,1962/08,161.5275833,2244.852
45100,1962/09,168.4111667,2204.3136
45100,1962/10,171.2491667,2235.708
45100,1962/11,133.94225,2214.6768
45100,1962/12,93.857,2220.1632
45100,1963/01,48.37558333,2205.5328
45100,1963/02,1.458083333,2273.808
45100,1963/03,-6.326916667,2281.936
45100,1963/04,-25.10141667,2272.5888
45100,1963/05,-8.144666667,2286
45100,1963/06,4.3495,2253.488
45100,1963/07,6.736583333,2148.84
45100,1963/08,24.95608333,2099.4624
45100,1963/09,35.14391667,2056.1808
45100,1963/10,-13.57091667,2013.5088
45100,1963/11,-28.34875,1940.56
45100,1963/12,-74.87425,1932.432
45100,1964/01,-105.6600833,1933.956
45100,1964/02,-160.6149167,1905
45100,1964/03,-170.9195,1842.516
45100,1964/04,-140.0203333,1960.4736
45100,1964/05,-109.8791667,1998.2688
45100,1964/06,-145.8033333,1893.4176
45100,1964/07,-47.04358333,1843.4304
45100,1964/08,-29.65916667,1779.524
45100,1964/09,20.209,1740.408
45100,1964/10,-30.62175,1662.684
45100,1964/11,-29.94791667,1642.2624
45100,1964/12,-74.0175,1630.68
45100,1965/01,-92.34916667,1618.488
45100,1965/02,-124.034,1648.968
45100,1965/03,-113.0548333,1847.088
45100,1965/04,-79.22841667,2018.284
45100,1965/05,-80.07808333,2092.1472
45100,1965/06,-74.94741667,2002.536
45100,1965/07,-70.66141667,1894.6368
45100,1965/08,-11.31333333,1841.6016
