"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"BB[41,1]",-0.0094044668646028,0.398494709312223,-0.802482865997472,-0.270521654261024,-0.00840711316312467,0.25299383317298,0.773772422502172,1.00025420723811,10833,1,0.50944
"BB[42,1]",-0.00213544052988169,0.345278858330867,-0.682976820266375,-0.23130080148945,-0.00424077959142068,0.226677911988473,0.68343857588741,1.0001106173878,19522,1,0.50504
"BB[43,1]",-0.0062779776607498,0.387330510348856,-0.775399210696364,-0.257979114051315,-0.005653015976446,0.243282763208701,0.75897310638568,1.00026808372545,9710,1,0.5062
"BB[44,1]",-0.00438833585826125,0.399060929482748,-0.799082367977715,-0.262801299804602,-0.000566499296876175,0.255871883924781,0.779688850031721,1.00010773801354,19968,1,0.50052
"BB[45,1]",-0.00368503943542987,0.368625830780284,-0.737803505800698,-0.243160355117943,-0.0039754537091552,0.23978909185517,0.724603895533538,1.00031134723296,9329,1,0.5046
"BB[46,1]",-0.00325363107970429,0.350220896830377,-0.692383994088772,-0.234867553476809,-0.000650003524175144,0.227672179837865,0.682483004445997,1.0002726319757,9230,1,0.5006
"BB[47,1]",-0.000937311908027542,0.378882839807152,-0.748884001938309,-0.250548830229146,-0.00100794772534571,0.249048874787588,0.747550478692086,1.00034241834382,9362,1,0.50148
"BB[48,1]",-0.00536155326759194,0.393364988658534,-0.786824415399619,-0.259425976935599,-0.00515595932918045,0.248976126501494,0.785189805599018,1.00027456485376,24130,1,0.50528
"BB[49,1]",-0.00496058549462749,0.351717330398881,-0.698073776542089,-0.240879527579515,-0.00316610982034092,0.228941486486208,0.685174509118366,1.00032661684784,8120,1,0.50376
"BB[50,1]",-0.00852683778629025,0.403810731645172,-0.809700822825818,-0.272140151261731,-0.00547505258790278,0.256381632908348,0.791113429428662,1.00018407395744,13410,1,0.50624
"BB[51,1]",-0.00586620713525202,0.395160385318133,-0.781459384764794,-0.266994284796781,-0.00360719591223701,0.255699384686843,0.773371013117365,1.00042493010441,7757,1,0.5034
"BB[52,1]",-0.00607963598776597,0.400966799570805,-0.810880801582276,-0.265882690337347,-0.00573119820475692,0.253709862774645,0.782201775101023,1.00021452763212,19211,1,0.50588
"BB[53,1]",-0.00660928404967928,0.404641058343287,-0.813404213036463,-0.271289268947298,-0.00270200967036319,0.257795138348562,0.792172521227116,1.00032407443324,8462,1,0.50296
"BB[54,1]",-0.00818992511709914,0.403561244514841,-0.81048365050169,-0.270003327180919,-0.0115034940933375,0.256253386633014,0.783786184762452,1.0002114369484,13591,1,0.5114
"BB[55,1]",-0.00414445015823384,0.406137983770359,-0.80086475774853,-0.270542892676853,-0.00652461813308725,0.261414433196694,0.801568752878522,1.00034704612034,8500,1,0.50724
"BB[56,1]",-0.00691932201506206,0.400929882190482,-0.799426948018252,-0.266080497157193,-0.00835562972986748,0.256499678149367,0.784390866513148,1.00004208727484,25000,1,0.50876
"BB[57,1]",-0.00882019952011781,0.400275539874318,-0.796853449788073,-0.264202595307185,-0.00897835026263105,0.248632734423932,0.78826617279984,1.000344344477,7680,1,0.50972
"BB[58,1]",-0.0106490453804594,0.402207153251305,-0.804962051322586,-0.273982396843151,-0.00981440231962891,0.252803964762744,0.775329180835717,1.00029666158019,9353,1,0.5094
"BB[59,1]",-0.00886457281925169,0.402562303230466,-0.809308011782387,-0.270088491568957,-0.00605235931466264,0.256510855455121,0.770554887725803,1.00033467734974,8257,1,0.5062
"BB[60,1]",-0.00533586725219188,0.404179402648374,-0.808194167310187,-0.268040989793813,-0.00628670024167698,0.255248960222311,0.800852776730948,1.00015180252963,16175,1,0.5062
"BB[61,1]",-0.00770422183891899,0.404029058015769,-0.81779264197242,-0.266853074250135,-0.00653430520412868,0.255154143392591,0.786677174184654,1.0003634808479,8474,1,0.50716
"BB[62,1]",-0.00471240453612113,0.40682048348695,-0.809324246985592,-0.270301496674511,-0.00532410752431287,0.262226594964518,0.80325081341308,1.00026364837678,13937,1,0.50552
"BB[63,1]",-0.00907817239079418,0.402204538963654,-0.815180318457695,-0.272758689956998,-0.00437311956870505,0.255624386388031,0.784290180117202,1.00036953579478,7742,1,0.50456
"BB[64,1]",-0.00391974086036409,0.39923522711358,-0.803711354789303,-0.264379336968727,-0.00423632835765841,0.256488683178557,0.779561520822823,1.00025060645205,13609,1,0.50444
"BB[65,1]",-0.010320860360711,0.401679148846031,-0.807895796633634,-0.269517437012323,-0.00892071731647344,0.249310737182811,0.781649204858458,1.00056892351248,5257,1,0.51048
"BB[66,1]",-0.00453482514449326,0.405235871959518,-0.809491543729064,-0.265523318166027,-0.00425164661623126,0.257749015439183,0.794793484854893,1.0002901243355,9661,1,0.5044
"BB[67,1]",-0.0041240321137463,0.399111139151516,-0.799924489400724,-0.261812420553543,-0.00284448705599476,0.252872174431363,0.782923641219552,1.00046429888068,5767,1,0.50264
"BB[68,1]",-0.0065381616117828,0.407404085999385,-0.823051097057425,-0.268905878557795,-0.00549865424542766,0.258957874572693,0.798363042259235,1.00028186081416,10216,1,0.50564
"BB[69,1]",-0.00458803844792678,0.405037195005219,-0.807551401598894,-0.266340749458316,-0.00237619061515043,0.261017086482394,0.784299299278274,1.00052899617369,5682,1,0.50256
"BB[70,1]",-0.00427396415513252,0.40204714064435,-0.806693091947378,-0.262299979462672,-0.00163025245325402,0.255520508231957,0.787386972710101,1.00037496355324,6529,1,0.50164
"BB[71,1]",-0.00967993454734273,0.408064554015609,-0.829573744999861,-0.270171916223819,-0.00730821765583461,0.256637171865782,0.798603965168866,1.00012587584967,25000,1,0.50776
"BB[72,1]",-0.00167017466626066,0.295896932568483,-0.58544019078234,-0.200053665213892,0.000571452624894903,0.194658764928602,0.576571972862312,1.00005464762539,21978,1,0.49904
"BB[73,1]",-0.000977198894269484,0.424636370827362,-0.854098405953779,-0.275874268779948,0.000700591391434566,0.272791150098718,0.839865484462764,1.00014756448127,18894,1,0.49912
"BB[74,1]",-0.00441465477589144,0.407340546132765,-0.823816621274011,-0.267022810563957,-0.00150011176269577,0.257574650410505,0.801510402129817,1.00027117994361,12940,1,0.5016
"BB[75,1]",-0.00576709170439365,0.39129633705737,-0.78172071335712,-0.258646380805942,-0.00276036458929662,0.248861123907069,0.765734239958033,1.00037945554901,6879,1,0.50264
"BB[76,1]",-0.00803632875295416,0.401954187719925,-0.805904105239961,-0.271766918009136,-0.00600877759996232,0.254982853047911,0.783178970610396,1.00019174236672,23686,1,0.50676
"BB[77,1]",-0.00502944898594856,0.371146688215848,-0.742372576913118,-0.247031514364721,-0.00465681901477774,0.241476735161056,0.720405350029707,1.00064847724643,4699,1,0.5062
"BB[1,2]",0.14929340690155,0.0041407415471005,0.141172597348245,0.146492296477047,0.149277305257015,0.152124370195559,0.157336260847578,0.999982683638913,25000,0,1
"BB[2,2]",0.19583009237947,0.0248665653794852,0.146758753866244,0.179145519252392,0.195966439975451,0.212611822379714,0.244206438840385,1.00007308011759,19108,0,1
"BB[3,2]",0.145002814596209,0.0171905678110917,0.111292759118495,0.133452430424837,0.144928956344502,0.156530423079762,0.178683858175051,1.00009516060254,25000,0,1
"BB[4,2]",0.0752524898220066,0.0229120928617461,0.0298731932600062,0.0598219697855476,0.0753670649198305,0.090729122015668,0.119898105341641,1.00030602105643,7956,0,0.99948
"BB[5,2]",0.15369714298807,0.0221300652994454,0.110533372488033,0.138718946779327,0.153806213200658,0.168672125265428,0.196899997447796,1.00015884823284,11836,0,1
"BB[6,2]",0.0719634539029765,0.0094268366774152,0.0535659097623335,0.065565554196131,0.0719569045805163,0.0783960649407036,0.0904400611650814,1.00008147914385,21744,0,1
"BB[7,2]",0.0787906753094761,0.0238154023982374,0.0323154509058718,0.0626585473770606,0.0787250058582323,0.0946475329557163,0.125986041846775,1.0000338712346,25000,0,0.9994
"BB[8,2]",0.111934865802647,0.0214587783107191,0.0698122461555674,0.0974807544464488,0.111777638029663,0.126497588369116,0.154197195093407,1.00001442089162,25000,0,1
"BB[9,2]",0.186928822616489,0.0133839524563165,0.160712802003733,0.177914044448181,0.187018776211767,0.196025500822843,0.212973279548129,1.00003286685449,25000,0,1
"BB[10,2]",0.234214696536212,0.0312287195195773,0.173338847643127,0.213153152272761,0.234174420351869,0.255348142834733,0.295348071344092,1.00015174457981,14877,0,1
"BB[11,2]",0.667811268516904,0.0220424634503374,0.624156775835542,0.653076904838962,0.667778301845049,0.682564202724512,0.710992539312078,1.00007584647159,22021,0,1
"BB[12,2]",-0.0607365332796562,0.0216906324261383,-0.103145991080156,-0.0752626345564301,-0.0608936061215578,-0.04605751492298,-0.018124943919873,0.999946346490197,25000,0,0.9972
"BB[13,2]",0.264687249620239,0.0204114936669695,0.224238015939496,0.250976404237611,0.264734967248392,0.278415150146557,0.304617912912093,1.00003964057972,22834,0,1
"BB[14,2]",0.0241871088257546,0.0136795051631394,-0.0026291025639218,0.0149485623135849,0.0241802009525965,0.0333972061576805,0.051196416901474,1.00009537625939,15763,1,0.96184
"BB[15,2]",0.258083093035074,0.0153790160615727,0.227709516079747,0.247818646939594,0.258070056277982,0.268383492828836,0.287941934503285,0.999985461941703,25000,0,1
"BB[16,2]",0.145979193858703,0.0167973107951155,0.113034002905575,0.134683971388737,0.145977983056386,0.15732788563025,0.178618045226184,1.00001476198195,25000,0,1
"BB[17,2]",0.00627699760250911,0.0193842865777663,-0.0315371103540737,-0.00676523113698402,0.00635382055102434,0.0193064185976091,0.0444935899671032,0.999983044747957,25000,1,0.62736
"BB[18,2]",0.19415088703579,0.0157190770364821,0.163241909862344,0.183554944051109,0.194274122690439,0.204797208272694,0.224516203026367,1.00007419011594,25000,0,1
"BB[19,2]",0.155043172655111,0.0129461224628204,0.129735350204702,0.146303408218296,0.155076589153288,0.163760098192132,0.180330799832352,0.999963554044374,25000,0,1
"BB[20,2]",0.15073622581965,0.0124168853237995,0.126667555575934,0.142382957989615,0.15067546982699,0.159086221263936,0.175074016869771,0.999941123346061,25000,0,1
"BB[21,2]",0.200790826594987,0.016249517582813,0.169010637210627,0.189869835085381,0.20084760078675,0.21182189827594,0.232919051034909,1.00035449391484,7602,0,1
"BB[22,2]",0.182672486667723,0.0152210053646108,0.152829141803177,0.172447443634241,0.182823460952264,0.193008511753036,0.212340696683488,1.00004592779282,25000,0,1
"BB[23,2]",0.183591252438674,0.0067243773069184,0.170479086015281,0.179084242717704,0.183578816903385,0.18811674944321,0.196756660678433,1.00000898486106,25000,0,1
"BB[24,2]",0.16166587720296,0.0229142757632598,0.116819444598631,0.146263589324178,0.161767348422816,0.177158499356985,0.206459054012793,1.00023055203129,11557,0,1
"BB[25,2]",0.169829940253301,0.0140638930020693,0.142588275782827,0.160292947014462,0.169712301368755,0.179307926295455,0.197726307554105,1.00005803209753,25000,0,1
"BB[26,2]",0.19900242522142,0.0170377680213542,0.165641947408,0.187364069181024,0.198949855426993,0.21050538905724,0.232270620403195,0.999957628428452,25000,0,1
"BB[27,2]",0.077790795388933,0.0198254097325799,0.0387505059158651,0.0645210059615252,0.0777407781095825,0.0911439512101196,0.116656571216196,1.00003807076776,25000,0,0.99992
"BB[28,2]",0.0783201882349321,0.0207332929803793,0.0378139766461651,0.0642764366795379,0.0780708406047545,0.0923476879318849,0.119107456964675,1.00002920573514,25000,0,0.99984
"BB[29,2]",0.109319155021658,0.00473767941747261,0.100039283164173,0.106107474553082,0.10932953473204,0.112512063835645,0.118616896810459,1.00002575542824,25000,0,1
"BB[30,2]",0.0899715576441963,0.00352858899324539,0.0830344283509761,0.087611301943769,0.089972431809375,0.092358978418759,0.096947829897926,1.00001375219236,25000,0,1
"BB[31,2]",0.121373330036611,0.00982599432172897,0.102047218913172,0.114769369119652,0.121347900029155,0.128003379607895,0.140498383635753,0.999963735743244,25000,0,1
"BB[32,2]",0.200636236037512,0.00340258662387295,0.193888451503424,0.1983694499027,0.200615287516423,0.202914923536688,0.20734284314269,1.00013139101114,14907,0,1
"BB[33,2]",0.0103291052118796,0.00638302417227749,-0.00218104934681249,0.00600143643342234,0.0103440123245931,0.0146368816952975,0.022921582380281,0.999984103484033,25000,1,0.94728
"BB[34,2]",0.0216131640291502,0.00439880831860635,0.012952100442818,0.0186550099015245,0.0216549890237263,0.0246086543228914,0.0301548117984289,1.00019316440897,12182,0,1
"BB[35,2]",0.117150279937567,0.00597393301351275,0.105411808702787,0.113106024588696,0.117181303074516,0.121203679461135,0.128782603423269,1.0000203454694,25000,0,1
"BB[36,2]",0.110925650832405,0.00370899883094755,0.103645061121766,0.108469909907731,0.110901549018055,0.113431200898047,0.118178706268359,0.999933534261534,25000,0,1
"BB[37,2]",0.052690479317281,0.0176051633408164,0.0178650423558818,0.0408505973201244,0.0528765358229417,0.0643472169223608,0.0871835918257035,1.00000595612245,25000,0,0.99884
"BB[38,2]",0.113390086649718,0.00750811971019543,0.0985337991615291,0.108364109292423,0.113448948801414,0.11837219580246,0.128297092820591,0.999953211602305,25000,0,1
"BB[39,2]",0.181283604743954,0.00271541608564181,0.175908246356212,0.179451465638923,0.18128811225655,0.183127426133831,0.186581713691558,1.00014589467774,14961,0,1
"BB[40,2]",-0.0627389333869328,0.0243560566024464,-0.10993099296516,-0.0793904362717992,-0.0626610927175157,-0.0462970382696155,-0.0151556923535689,1.00002724049958,25000,0,0.99488
"BB[41,2]",-0.0531202126795515,0.0102929379110026,-0.0732591833758638,-0.0600507804835813,-0.0532163726256735,-0.0461491102551233,-0.0328381534746449,1.00021336579293,10515,0,1
"BB[42,2]",0.143748719942104,0.00407446887253562,0.135691857072064,0.141032518661412,0.143762199851688,0.14646106572554,0.151762687562018,1.00002997957729,25000,0,1
"BB[43,2]",0.0567120554522536,0.0123335618392511,0.0326018293563709,0.0483531693095316,0.0567059208705778,0.0650317342942053,0.0809371178619732,1.00014199120632,14552,0,1
"BB[44,2]",0.021466292750395,0.0155104614901352,-0.00902282078609869,0.0109859687182741,0.0214757430502516,0.0317577445327575,0.0521745073158154,1.00004357270868,25000,1,0.91724
"BB[45,2]",0.0946059362889231,0.00640800013667822,0.0819499121469265,0.0902896347353122,0.0946318439950272,0.0989328899599969,0.107122456456438,1.00020016392745,13827,0,1
"BB[46,2]",0.109418031948941,0.00480312618810017,0.0999989104916174,0.10619245549422,0.109411257113201,0.112648624541627,0.11882290342546,0.999941693339397,25000,0,1
"BB[47,2]",0.0940188136454778,0.00705770521199912,0.0800839606933288,0.0892741786081094,0.0940311785425003,0.0988292058934241,0.107716729589658,0.999989406758181,25000,0,1
"BB[48,2]",0.152084279226648,0.0129305149770676,0.126856332236758,0.143311088464394,0.152003927482241,0.160917029264479,0.177509730003085,1.00004351339096,24344,0,1
"BB[49,2]",0.132985467755591,0.00456036274180459,0.124109491928945,0.129884372376708,0.13299596442699,0.136056390292243,0.141889744727066,1.00003464926581,25000,0,1
"BB[50,2]",0.100090454722196,0.0192226742379987,0.0628414070873808,0.0872191736892875,0.100003683541499,0.112959157751619,0.137736776813582,0.999955367285367,25000,0,1
"BB[51,2]",0.0344121796951714,0.0123068449747149,0.0101369159438666,0.0261354796585779,0.0344619632087023,0.0427914337408126,0.058500200156619,1.00001172984057,25000,0,0.99688
"BB[52,2]",0.126558693251611,0.0190966278465217,0.0887942695070963,0.113781700309472,0.126634911694141,0.139493872862327,0.163864987687426,1.00002988825118,25000,0,1
"BB[53,2]",0.096854969514429,0.0171972729599245,0.0629989459930293,0.0852092901483175,0.0968514725020968,0.108593620240977,0.130353204008411,0.999971010579731,25000,0,1
"BB[54,2]",0.0932943550041801,0.0167086568150411,0.0606985147099286,0.082036172135163,0.0932490947535849,0.104535462392028,0.126015550590287,1.0000623744092,20837,0,1
"BB[55,2]",0.195059036213395,0.0204311320743062,0.155442697936235,0.181210431506873,0.194940591405865,0.208789851761686,0.234929065510712,0.999967930967168,25000,0,1
"BB[56,2]",0.0379456643973912,0.0258167717506896,-0.0131182772102414,0.0208136751597074,0.0379219520798816,0.0554902375947321,0.0879725774071978,0.999990496016236,25000,1,0.92824
"BB[57,2]",0.121996579870832,0.037779683194375,0.0477528015572342,0.0962738086810085,0.122233724714894,0.147287048057275,0.196018609875372,0.999944118084567,25000,0,0.9994
"BB[58,2]",0.0733436988152804,0.0185141141810957,0.0370540125799322,0.0608189196795844,0.0732532323844888,0.0858329345033479,0.109591799098005,1.00009939292084,18065,0,1
"BB[59,2]",0.0538530075307364,0.01812106700427,0.0181748927033657,0.0416882965794789,0.0538611447712414,0.0659586018113668,0.0894314990799866,0.99998511206491,25000,0,0.99884
"BB[60,2]",0.128588694814821,0.0151114808595399,0.0988838971525966,0.118322369137065,0.128613450994717,0.138670695638627,0.158283223614399,1.00002971338878,25000,0,1
"BB[61,2]",0.107296584972001,0.0184212612919131,0.0709959624508171,0.094812444817029,0.107296277500438,0.119759349449495,0.143316075963705,0.9999994218333,25000,0,1
"BB[62,2]",0.175286324450168,0.0210664438763675,0.133649102276186,0.161214363488115,0.175203401423277,0.189544310317274,0.216658421605171,1.00001474975161,25000,0,1
"BB[63,2]",0.0766005628206232,0.0243190985084807,0.0282691480808406,0.0603474702044837,0.0765666107421437,0.0932064287515133,0.123715655981281,1.00008973421407,19925,0,0.999
"BB[64,2]",0.143563538967684,0.0171589471573026,0.109872659488194,0.132010092442201,0.143530191826465,0.155062959630602,0.177312340852479,1.00003164424004,25000,0,1
"BB[65,2]",0.130783683374593,0.0194738429283771,0.0925245114171012,0.117825734373961,0.130796043928076,0.14386374974889,0.169255960902144,1.00008132151878,25000,0,1
"BB[66,2]",0.193387795822444,0.022856856479389,0.148713230769905,0.178118552848877,0.193462401783684,0.208913245294213,0.237779207877496,1.00005056015215,23137,0,1
"BB[67,2]",0.0364288335272558,0.0201295649663933,-0.00332349615888395,0.0229692670391044,0.0365253518064314,0.0498627671654042,0.0762243939155172,1.00010956958621,16288,1,0.96404
"BB[68,2]",-0.0977280241338769,0.0222757054203578,-0.141762754276519,-0.112541853215854,-0.0978841045248518,-0.0825826077546344,-0.0544561963366019,1.00003079574147,25000,0,1
"BB[69,2]",0.0269111805030187,0.0226730705315874,-0.0175734221876969,0.0115371162436064,0.0269378058547685,0.0422291924538439,0.0713140937533945,1.00029616032005,7960,1,0.88212
"BB[70,2]",0.114232149497647,0.0234911433093408,0.0684126966465298,0.0982375987316956,0.11417232924599,0.130388309269387,0.159689713141799,1.00005327408342,20846,0,1
"BB[71,2]",0.0339286064924135,0.0341605015703681,-0.0338269324312472,0.0109380135138622,0.0339063434352489,0.0570058056489155,0.100893700334059,0.999951691074701,25000,1,0.8422
"BB[72,2]",0.177550029586917,0.00263959268379749,0.17235892604638,0.175749572881145,0.177542210292707,0.179343367017736,0.182705756076494,0.99997077858738,25000,0,1
"BB[73,2]",-0.254532159053948,0.0215511974789532,-0.297078049672022,-0.269061185820109,-0.254530481900938,-0.240012390367403,-0.212450793890656,1.00000362379723,25000,0,1
"BB[74,2]",0.154571783235203,0.0228889195213094,0.109924179245636,0.138986843178096,0.154671069077714,0.170214172882777,0.199077108495189,1.00001446474315,25000,0,1
"BB[75,2]",0.0332353357157387,0.00647378323129532,0.020504001579279,0.0288394776868312,0.0332300271241286,0.0375811932124665,0.0460228750792826,0.999988483361774,25000,0,1
"BB[76,2]",0.0137011179413138,0.0199398583829539,-0.026099862041318,0.000346183170114186,0.013859670855988,0.0271313941729041,0.0523407472087297,1.00001788933943,25000,1,0.75532
"BB[77,2]",0.0444386721244171,0.00840947557860942,0.0279310029550994,0.0387237496497524,0.0444572748655806,0.0501082525996209,0.0607491700033695,0.999953042393522,25000,0,1
"mu.a",-0.00605449147252665,0.157196939996193,-0.316636760577493,-0.112065987166258,-0.00488921200977652,0.100063068493607,0.299175094149046,1.00124549323041,2902,1,0.51288
"mu.b",0.109577006287025,0.0180647490140079,0.0739682387493265,0.0974982372491498,0.109723326946979,0.121702094545891,0.144820620599339,1.0000836203885,24792,0,1
"sigma.y",9.99978065459062,0.000218669479904439,9.99919188309638,9.99969562371394,9.99984976086006,9.99993805016671,9.99999474667363,1.00140392961579,2997,0,1
"sigma.B[1]",0.37213411136695,0.0760013393089573,0.251311225793861,0.317459791703519,0.3632062497625,0.416925911287256,0.545018447524276,1.00220296449433,1460,0,1
"sigma.B[2]",0.156515129096634,0.0128357760906097,0.133973947105108,0.147501914289025,0.155572631526047,0.164608655265895,0.1842502574142,1.0000333148839,25000,0,1
"rho.B[1,1]",1,0,1,1,1,1,1,NA,1,0,1
"rho.B[2,1]",-3.73440626895205e-05,0.149365242028281,-0.292177280239569,-0.103495058826618,0.000675677867667404,0.102132534107127,0.291719564179198,1.00015568606989,14573,1,0.49816
"rho.B[1,2]",-3.73440626895205e-05,0.149365242028281,-0.292177280239569,-0.103495058826618,0.000675677867667404,0.102132534107127,0.291719564179198,1.00015568606989,14573,1,0.49816
"rho.B[2,2]",1,0,1,1,1,1,1,NA,1,0,1
