WBIC,coef,Gnet,slope
1176400,-1.132226543393617e-4,-1.759384006852568,0.9649941096542903
182100,-1.187067079322972e-4,-1.1211837826843989,1.0202995371366888
1842400,-1.1897466657185058e-4,-1.6908142344365402,1.1224030976995458
1862100,-1.3182225272828272e-4,-1.9878618427119683,1.062031414462517
1881100,-1.3155429408872934e-4,-1.9382260871115107,1.3226791867728152
1881900,-1.1252716946013551e-4,-1.5775735993639093,1.103157967784914
191100,-6.9505920600274e-5,-0.38743608671994284,0.8459412860702903
2496300,-1.2348255537725998e-4,-2.2543475626663003,1.1837629108556353
2694000,-6.415649175973572e-5,-1.1813063042005838,0.82042243890816835
589400,-1.2826458648313558e-4,-2.0733744352470294,1.2217630018475232
778300,-1.38649014375981e-4,-1.327054357428508,1.5604895481032777
967900,-1.2633116183774279e-4,-1.8608829948186694,1.0201226601078979
968800,-1.1341761663157443e-4,-1.574303986275434,1.1667722768889974
985100,-5.455805505583971e-5,-1.0583723560876679,1.0746199817527904
994900,-1.651769196917651e-4,-2.347959967529678,1.4538552412358465
