WiscID,Name,County,MinYr,MaxYr,NumOb,NumYr,source,LakeType,WIBIC,lagoslakeid,lat,long
68,Tuttle Lake,Marquette,1975,1994,9,8,DNR Historical Data,seepage,108200,4940,43.92930473,-89.29149706
69,Twin Lakes,Marquette,2002,2003,7,2,USGS,seepage,117000,815,43.9105303,-89.5898459
70,Witters Lake,Waushara,1963,1995,13,10,DNR Historical Data,seepage,117400,5263,44.03343979,-89.3041395
71,Witters Lake,Waushara,1963,2015,28,26,Waushara,seepage,117400,5263,44.03343979,-89.3041395
72,Wolf Lake,Adams,1984,1990,4,4,DNR Historical Data,seepage,117500,1165,43.79553175,-89.62234606
73,Wood Lake,Marquette,1976,1993,6,6,DNR Historical Data,seepage,117600,5063,43.97845238,-89.51199123
76,DeNeveu Lake,Fond Du Lac,1936,1964,2426,29,USGS,seepage,139300,3945,43.73637949,-88.3962152
79,Comstock Lake,Marquette,1964,1993,11,9,DNR Historical Data,seepage,155570,5097,43.88530723,-89.27335732
81,Crystal Lake,Marquette,1975,1994,5,5,DNR Historical Data,seepage,157300,66674,43.97056397,-89.35874877
85,Maria Lake,Green Lake,1975,1991,19,12,DNR Historical Data,seepage,161900,67685,43.64747634,-89.00156472
86,Little Green Lake,Green Lake,1936,2003,2238,24,USGS,seepage,162500,5036,43.7397042,-88.9748345
90,Ennis Lake,Marquette,1967,1979,16,3,USGS,seepage,171000,5326,43.6883132,-89.3945644
91,Ennis Lake,Marquette,1978,1994,13,9,DNR Historical Data,seepage,171000,5326,43.68848881,-89.39139163
94,Arbutus Lake,Forest,1970,1981,5,5,DNR Historical Data,seepage,181400,4460,45.40135912,-88.86134588
95,Bass Lake,Marathon,1978,1981,3,2,DNR Historical Data,seepage,181700,2148,44.85700353,-89.31682718
96,Bass Lake,Menominee,1990,1991,31,2,USGS,seepage,181800,1874,44.8708212,-88.5009369
97,Bear Lake,Portage,1965,1979,13,5,USGS,seepage,181900,92641,44.4338612,-89.394838
98,Bear Lake,Portage,1970,1981,3,3,DNR Historical Data,seepage,181900,92641,44.43532986,-89.39419886
99,Hills Lake,Waushara,1983,1996,73,6,USGS,seepage,182100,4634,44.15081177,-89.1578946
100,Hills Lake,Waushara,1975,1995,4,4,DNR Historical Data,seepage,182100,4634,44.1516018,-89.16386665
101,Big Hills Lake (Hills),Waushara,1995,2015,18,18,Waushara,seepage,182100,4634,44.1516018,-89.16386665
102,Big Twin Lake,Langlade,1970,1981,3,3,DNR Historical Data,seepage,182200,4659,45.35493058,-88.91487374
103,Twin Lake,Waushara,1985,1995,5,5,DNR Historical Data,seepage,182300,5173,44.23591107,-89.14031928
104,Big Twin Lake,Waushara,1975,2015,21,20,Waushara,seepage,182300,5173,44.23591107,-89.14031928
105,Crystal Lake,Langlade,1970,1981,7,6,DNR Historical Data,seepage,184200,4979,45.37912746,-88.92538004
106,Crystal Lake - Staff Gage,Forest,2015,2015,12,1,SWIMS,seepage,184200,4979,45.381737,-88.92151
107,Dark Lake,Langlade,1978,1981,3,3,DNR Historical Data,seepage,184300,1797,45.16651865,-88.78814107
108,Deep Hole Lake,Forest,1977,1978,8,2,USGS,seepage,184500,130849,45.45635329,-88.9042789
109,Deep Hole Lake,Forest,1983,1990,3,3,DNR Historical Data,seepage,184500,130849,45.46013537,-88.90404404
110,Duck Lake,Forest,1977,1978,13,2,USGS,seepage,185300,33290,45.46746428,-88.9028901
111,Gilbert Lake,Waushara,1962,1995,18,15,DNR Historical Data,seepage,186400,3333,44.21267758,-89.16930289
112,Gilbert Lake,Waushara,1962,2015,36,32,Waushara,seepage,186400,3333,44.21267758,-89.16930289
