WBIC,Gnet,slope
8900,-1.3557106716823126,1.1326969565391483
45100,-1.476673185068206,1.029081589689724
103100,-0.39238836074232836,0.8923699992075516
104700,-2.09365419958836,1.295483551966587
106600,-1.7121399689881203,1.038430441512844
181800,-0.6923413472008787,0.8922679768540612
181900,0.18578292295528864,0.7413380452939239
182100,-1.1074613583876318,1.011177561454299
184200,-1.4780131668058667,1.085932853962608
189800,-1.3374080742541457,0.8600192174153636
191100,-0.4833154552466396,0.8197011182881462
194800,-1.0880792605456877,0.9266783009789602
195900,-0.5847178462433588,0.655901982564175
417400,-0.6786049852193357,0.9847026343048572
418300,-0.540538509788672,1.188099476455841
418700,-1.232714880038489,0.9740827338295615
421600,-1.8312882541216986,1.1063607521055325
425600,-0.7474652643766365,0.835233051781963
439800,-1.3736409971093129,1.0546517030286517
586800,-1.326555119507675,1.059166663021407
589400,-2.071264147869649,1.2151134133267634
740400,-0.6828855466343531,0.652549457770957
741500,-1.1179060422709142,0.9412919553005218
741600,-1.1577177495978586,0.7958458556380832
774400,-0.7926930618146574,0.5222099905817401
778300,-1.3202768115982135,1.6019411219872455
779200,-1.1957800766357614,0.8933353718155749
779300,-2.1392949768620237,1.3162901777452285
779800,-1.9408515140023135,1.097928569612768
967900,-1.8668221349896517,1.0271386270333338
968800,-1.6101384057290098,1.1404429119456236
969600,-0.660324503639579,0.522208364056055
981500,-0.7567236482721246,1.0273779883809144
985000,0.6297926679932654,0.4956350691239502
985100,-1.061857043024616,1.0941852242264611
991000,-1.983842703745656,1.2401993982341877
994700,-1.9693823596079216,1.0886163358865046
994900,-2.347105544508211,1.4539116363103128
1005800,-1.3858051653096957,0.9955459398141463
1012500,0.20459245846852644,1.000426327750068
1176400,-1.7591572705489316,0.9648053047276298
1842400,-1.689855522847097,1.1218595189374185
1855100,-1.8744811322524801,1.1387453830567316
1858200,-3.0338977381196135,1.3179432766778438
1862100,-1.9876186111731682,1.0620271260182816
1877900,-2.0362532690509036,0.8982328478056099
1881100,-1.9387725168908483,1.318377072632354
1881900,-1.5750826182675586,1.101571516917288
1883700,-2.083274341810392,1.429460930886392
1887500,-1.17781702567872,1.116378485725816
2015500,-2.3706236477548255,1.331859732011471
2043700,-1.355286304720984,1.0629602115799528
2092500,-1.4021965580532527,1.0300631671355107
2340100,-1.9572150825142276,0.9741612480915602
2450500,-1.4608710457031155,0.7996920879139673
2461100,-0.6565309879374707,0.5728442872500785
2462200,-0.35157321949326525,0.7084744775110671
2469400,-1.6261374698010258,0.9551489276807483
2478200,-1.2475075402208948,1.0054086439983028
2493900,0.5596092211923301,0.4000825486112731
2496300,-2.4829863629178774,1.3328445030249645
2599400,-2.555992651611683,1.5454795095458307
2630100,0.8523897085960654,0.9911254566739324
2694000,-1.175391472581397,0.81973118788213
2734700,-2.151142234685564,1.0341173298104152
2757900,-1.6456836142197437,1.1044136410607222
2767100,-1.7097531474439147,0.8296589726858123
2767300,-2.5051203249948224,1.2021105727176575
2771200,-1.9233697827885152,1.0076516872432657
2901100,-1.4693707875083728,0.8901621480464758
