"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"BB[25,2]",0.762179423843224,0.164234196097752,0.436996058860403,0.654507358057272,0.760069421367525,0.871925188714554,1.07997318522922,1.00055018068847,1500,0,1
"BB[26,2]",0.961073199358724,0.0458860724984406,0.873334472932396,0.930927230033822,0.961031036219277,0.993281415321815,1.04809295757714,0.999544088178311,1500,0,1
"BB[27,2]",1.00530468157089,0.166780509975766,0.671312635865771,0.894692310834162,1.00576979157685,1.1182834662455,1.33234110242695,0.999492908184127,1500,0,1
"BB[28,2]",0.840748397845879,0.105050050250859,0.639652466863847,0.768974739905938,0.84106918772178,0.910941385608659,1.05037783314636,1.00253421761694,837,0,1
"BB[29,2]",1.16518933279839,0.090568073804994,0.996670060849104,1.10432365439832,1.15979399399934,1.22765505470136,1.34656167648947,1.00077321238852,1500,0,1
"BB[30,2]",0.941626286842753,0.213640897487431,0.526255334943371,0.7988035833839,0.937240044843818,1.08037670481694,1.37947721527469,1.0013472104844,1500,0,1
"BB[31,2]",0.816941896861698,0.0634908364628878,0.688852178159735,0.775582273400272,0.81754593871012,0.858426456601104,0.945232664234612,1.00090989687428,1500,0,1
"BB[32,2]",0.963951714636202,0.0794409734206517,0.800761219608547,0.911038134331223,0.96496267138406,1.01997190689117,1.11390725636784,1.00269465455921,635,0,1
"BB[33,2]",0.967843196086775,0.180957200013666,0.603750787708966,0.84434373263368,0.969079946943502,1.09374126700422,1.3134851947949,1.00137581451967,1500,0,1
"BB[34,2]",1.30845278908179,0.214921732898202,0.879592928968102,1.16623508559415,1.30836937435939,1.44461003941986,1.73706585742611,1.00111188663138,1500,0,1
"BB[35,2]",0.980399593970667,0.0750843502797699,0.830127290367927,0.931109854628497,0.980816518277483,1.02974402540154,1.12409265850006,1.00246881637318,653,0,1
"BB[36,2]",0.862350719305333,0.206358892593696,0.450052586621845,0.723318006157223,0.869387567025714,0.999851157559936,1.25092542531359,1.00096179202244,1154,0,1
"BB[37,2]",1.07931887746797,0.114452711778672,0.862526209685642,0.998637381073834,1.07704096245385,1.15782729494887,1.31256261393066,0.999321196609564,1500,0,1
"BB[38,2]",0.904901782878517,0.0772790301797809,0.754155940913198,0.851318906674778,0.907111602804581,0.953823086589332,1.05502275174558,1.00174800808676,795,0,1
"BB[39,2]",1.06959336890515,0.103473583623411,0.867035049206064,1.00020933297248,1.06923065462024,1.13794942621703,1.27935461695042,0.999615821226297,1500,0,1
"BB[40,2]",1.12071796317702,0.19756310125043,0.733235147165511,0.982305469310055,1.12479743717296,1.2487473337753,1.52170161019008,1.0033922668722,1500,0,1
"BB[41,2]",0.786757155752891,0.109665108976156,0.587727529867397,0.710857362931066,0.783539603174234,0.86115635569183,1.00112354349725,1.00203281433809,815,0,1
"BB[42,2]",0.89376999306196,0.107976901429081,0.687892340458262,0.81976929988317,0.894869827897497,0.9709345079193,1.10116033215389,1.00370160254431,463,0,1
"BB[43,2]",0.928623822539894,0.205987556508577,0.5045618268608,0.790531312930588,0.927455507970777,1.06446249317674,1.36005522073516,1.00025333335862,1500,0,1
"BB[44,2]",0.714737793007498,0.108422065109249,0.495477891491662,0.643789865515789,0.719063252312629,0.787786950961368,0.921324565544104,1.00050841548703,1500,0,1
"BB[45,2]",1.17869558579526,0.0393189592928729,1.10362254952842,1.15224482837665,1.17744970489752,1.20564914984224,1.25877160185787,0.999541748084739,1500,0,1
"BB[46,2]",0.893114969229827,0.117001419023871,0.661764106751868,0.816665334804858,0.892984788758971,0.968541967561103,1.13037106625324,1.00256899360691,1500,0,1
"BB[47,2]",1.05795668242171,0.170428511651119,0.731521767199957,0.941729501867326,1.05554173359699,1.17420953905489,1.38978456603575,0.999691862715629,1500,0,1
"BB[48,2]",0.804525767977714,0.0866231192407123,0.636216391167619,0.747628502926204,0.803981225634739,0.865010484576654,0.971561014266645,1.00023516057833,1500,0,1
"BB[49,2]",0.907301346072683,0.113449107455023,0.683038424645054,0.831260817924435,0.911428808235738,0.982220955922732,1.13199302674331,1.00002450761954,1500,0,1
"BB[50,2]",1.00708992281122,0.182013207194192,0.651255018087984,0.891847380897654,1.00499533122722,1.13299425948291,1.36251707202057,1.00035973844958,1500,0,1
"BB[51,2]",1.09620650730117,0.151335460478753,0.81305638681983,0.995560307023813,1.0947060329848,1.19673613417752,1.40684294274392,0.999286736119774,1500,0,1
"mu.a",-1.4162795401836,0.0930996339048485,-1.6004539576949,-1.47561022740165,-1.42083310073942,-1.35484005134241,-1.22742443815079,1.0012346623436,904,0,1
"mu.b",0.943679284849965,0.0444738649930987,0.85839648781178,0.914064856062069,0.944626161681554,0.972279017705144,1.0314056912773,0.999077220548404,1500,0,1
"sigma.y",1.92006621956283,0.0196422733824549,1.88161187042545,1.90743781339226,1.92001384536013,1.93261855154486,1.95924490913034,1.00072255074671,1315,0,1
"sigma.B[1]",0.567217690502833,0.0764294061784164,0.42888557068605,0.51389995355053,0.56080478542488,0.613445962956667,0.737414498490082,1.00186643559948,1298,0,1
"sigma.B[2]",0.2707346102067,0.0329749576136255,0.214295707856999,0.248318189672472,0.267338695522919,0.289593209325216,0.339493563881894,1.00135770569939,932,0,1
"rho.B[1,1]",1,0,1,1,1,1,1,NA,1,0,1
"rho.B[2,1]",-0.45973677379765,0.138682172003554,-0.702187141009779,-0.561915656521438,-0.468258438079008,-0.372325710181266,-0.161071704777343,1.00073553947701,1500,0,0.999333333333333
"rho.B[1,2]",-0.45973677379765,0.138682172003554,-0.702187141009779,-0.561915656521438,-0.468258438079008,-0.372325710181266,-0.161071704777343,1.00073553947701,1500,0,0.999333333333333
"rho.B[2,2]",1,0,1,1,1,1,1,NA,1,0,1
"deviance",20713.671555953,13.9238486651289,20688.3145098579,20703.5497391698,20713.192138861,20723.0406841254,20741.6652679006,1.00324814194626,873,0,1
